sport,player_key,player,canonical_market,event_id,event_time,team,opponent,market_median,market_low,market_high,book_count,book_agreement_pct,line_dispersion,over_price_median,under_price_median,pp_line,pp_gap,l3,l5,l10,l20,season,streak,recent_avg,season_avg,h2h,hulk_prop_score,market_direction,price_pressure_score,coverage_grade,signal
MLB,alex bregman,Alex Bregman,runs,919bdbd90145290fd9a5266e0fed035b,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,3,100.0,0.0,135.0,-194.0,,,,,,,,,,,,41.8,UNDER,21.6,USABLE,WATCH
MLB,alex bregman,Alex Bregman,singles,919bdbd90145290fd9a5266e0fed035b,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,4,100.0,0.0,106.0,-153.0,,,,,,,,,,,,41.3,UNDER,10.9,USABLE,WATCH
MLB,alex bregman,Alex Bregman,stolen_bases,919bdbd90145290fd9a5266e0fed035b,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,3,100.0,0.0,960.0,-3000.0,,,,,,,,,,,,57.0,UNDER,82.2,USABLE,WATCH
MLB,alex bregman,Alex Bregman,total_bases,919bdbd90145290fd9a5266e0fed035b,2026-09-03T23:15:00Z,,,0.5,0.5,1.5,5,60.0,0.49,-185.0,126.0,,,,,,,,,,,,37.4,OVER,18.9,GOOD,WATCH
MLB,alex bregman,Alex Bregman,walks,919bdbd90145290fd9a5266e0fed035b,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,3,100.0,0.0,198.0,-300.0,,,,,,,,,,,,46.0,UNDER,38.2,USABLE,WATCH
MLB,andr s gim nez,Andrés Giménez,doubles,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,550.0,-1195.0,,,,,,,,,,,,50.0,UNDER,71.4,LOW,PASS
MLB,andr s gim nez,Andrés Giménez,hits,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,-125.0,-120.0,,,,,,,,,,,,32.4,OVER,0.9,LOW,PASS
MLB,andr s gim nez,Andrés Giménez,hits_runs_rbis,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,-160.0,105.0,,,,,,,,,,,,35.0,OVER,11.6,LOW,PASS
MLB,andr s gim nez,Andrés Giménez,home_runs,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,2,100.0,0.0,1982.5,-16295.0,,,,,,,,,,,,57.0,UNDER,90.8,LOW,PASS
MLB,andr s gim nez,Andrés Giménez,rbis,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,440.0,-875.0,,,,,,,,,,,,48.6,UNDER,65.8,LOW,PASS
MLB,andr s gim nez,Andrés Giménez,runs,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,250.0,-400.0,,,,,,,,,,,,44.0,UNDER,47.4,LOW,PASS
MLB,andr s gim nez,Andrés Giménez,singles,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,125.0,-190.0,,,,,,,,,,,,36.9,UNDER,19.2,LOW,PASS
MLB,andr s gim nez,Andrés Giménez,total_bases,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,150.0,-230.0,,,,,,,,,,,,38.9,UNDER,27.1,LOW,PASS
MLB,andres gimenez,Andres Gimenez,doubles,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,2,100.0,0.0,462.5,-750.0,,,,,,,,,,,,50.9,UNDER,66.5,LOW,PASS
MLB,andres gimenez,Andres Gimenez,hits,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,2,100.0,0.0,-167.5,122.5,,,,,,,,,,,,38.4,OVER,16.4,LOW,PASS
MLB,andres gimenez,Andres Gimenez,hits_runs_rbis,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,1.5,1.5,1.5,1,100.0,0.0,115.0,-165.0,,,,,,,,,,,,35.8,UNDER,14.5,LOW,PASS
MLB,andres gimenez,Andres Gimenez,home_runs,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,850.0,-1600.0,,,,,,,,,,,,52.1,UNDER,79.9,LOW,PASS
MLB,andres gimenez,Andres Gimenez,rbis,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,2,100.0,0.0,327.5,-575.0,,,,,,,,,,,,48.5,UNDER,56.9,LOW,PASS
MLB,andres gimenez,Andres Gimenez,runs,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,2,100.0,0.0,265.0,-415.0,,,,,,,,,,,,46.6,UNDER,49.3,LOW,PASS
MLB,andres gimenez,Andres Gimenez,stolen_bases,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,2,100.0,0.0,687.5,-1400.0,,,,,,,,,,,,53.3,UNDER,76.0,LOW,PASS
MLB,andres gimenez,Andres Gimenez,total_bases,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,-165.0,115.0,,,,,,,,,,,,35.8,OVER,14.5,LOW,PASS
MLB,andrew benintendi,Andrew Benintendi,doubles,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,450.0,-700.0,,,,,,,,,,,,48.5,UNDER,65.6,LOW,PASS
