sport,player_key,player,canonical_market,event_id,event_time,team,opponent,market_median,market_low,market_high,book_count,book_agreement_pct,line_dispersion,over_price_median,under_price_median,pp_line,pp_gap
MLB,andr s gim nez,Andrés Giménez,rbis,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,440.0,-875.0,,
MLB,andr s gim nez,Andrés Giménez,runs,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,250.0,-400.0,,
MLB,andr s gim nez,Andrés Giménez,singles,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,125.0,-190.0,,
MLB,andr s gim nez,Andrés Giménez,total_bases,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,150.0,-230.0,,
MLB,andres gimenez,Andres Gimenez,doubles,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,2,100.0,0.0,462.5,-750.0,,
MLB,andres gimenez,Andres Gimenez,hits,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,2,100.0,0.0,-167.5,122.5,,
MLB,andres gimenez,Andres Gimenez,hits_runs_rbis,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,1.5,1.5,1.5,1,100.0,0.0,115.0,-165.0,,
MLB,andres gimenez,Andres Gimenez,home_runs,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,850.0,-1600.0,,
MLB,andres gimenez,Andres Gimenez,rbis,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,2,100.0,0.0,327.5,-575.0,,
MLB,andres gimenez,Andres Gimenez,runs,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,2,100.0,0.0,265.0,-415.0,,
MLB,andres gimenez,Andres Gimenez,stolen_bases,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,2,100.0,0.0,687.5,-1400.0,,
MLB,andres gimenez,Andres Gimenez,total_bases,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,-165.0,115.0,,
MLB,andrew benintendi,Andrew Benintendi,doubles,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,450.0,-700.0,,
MLB,andrew benintendi,Andrew Benintendi,hits,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,0.5,0.5,0.5,4,100.0,0.0,-130.0,101.0,,
MLB,andrew benintendi,Andrew Benintendi,hits_runs_rbis,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,0.5,0.5,0.5,2,100.0,0.0,-250.0,130.0,,
MLB,andrew benintendi,Andrew Benintendi,home_runs,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,0.5,0.5,0.5,3,100.0,0.0,750.0,-1400.0,,
MLB,andrew benintendi,Andrew Benintendi,rbis,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,0.5,0.5,0.5,3,100.0,0.0,190.0,-300.0,,
MLB,andrew benintendi,Andrew Benintendi,runs,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,170.0,-240.0,,
MLB,andrew benintendi,Andrew Benintendi,singles,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,104.0,-184.0,,
MLB,andrew benintendi,Andrew Benintendi,total_bases,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,1.5,0.5,1.5,3,66.7,0.471,190.0,-223.0,,
MLB,andrew knizner,Andrew Knizner,doubles,4b25e965b62d7c19e2aa8fbfff667da3,2026-09-03T16:35:00Z,,,0.5,0.5,0.5,2,100.0,0.0,487.5,-750.0,,
MLB,andrew knizner,Andrew Knizner,hits,4b25e965b62d7c19e2aa8fbfff667da3,2026-09-03T16:35:00Z,,,0.5,0.5,0.5,2,100.0,0.0,-130.0,-2.0,,
MLB,andrew knizner,Andrew Knizner,home_runs,4b25e965b62d7c19e2aa8fbfff667da3,2026-09-03T16:35:00Z,,,0.5,0.5,0.5,1,100.0,0.0,800.0,-1500.0,,
MLB,andrew knizner,Andrew Knizner,rbis,4b25e965b62d7c19e2aa8fbfff667da3,2026-09-03T16:35:00Z,,,0.5,0.5,0.5,2,100.0,0.0,210.0,-312.5,,
MLB,andrew knizner,Andrew Knizner,runs,4b25e965b62d7c19e2aa8fbfff667da3,2026-09-03T16:35:00Z,,,0.5,0.5,0.5,2,100.0,0.0,175.0,-250.0,,
MLB,andrew knizner,Andrew Knizner,total_bases,4b25e965b62d7c19e2aa8fbfff667da3,2026-09-03T16:35:00Z,,,0.5,0.5,0.5,2,100.0,0.0,-128.5,-105.0,,
MLB,angel genao,Angel Genao,doubles,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,3,100.0,0.0,525.0,-850.0,,
MLB,angel genao,Angel Genao,hits,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,1.0,0.5,1.5,2,100.0,0.5,-43.0,-7.5,,
MLB,angel genao,Angel Genao,hits_runs_rbis,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,2.5,2.5,2.5,1,100.0,0.0,-125.0,-120.0,,
MLB,angel genao,Angel Genao,home_runs,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,3,100.0,0.0,2220.0,-17330.0,,
MLB,angel genao,Angel Genao,rbis,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,1.5,0.5,1.5,3,66.7,0.471,345.0,-446.5,,
MLB,angel genao,Angel Genao,runs,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,3,100.0,0.0,305.0,-520.0,,
MLB,angel genao,Angel Genao,singles,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,1.5,1.5,1.5,1,100.0,0.0,145.0,-215.0,0.5,-1.0
MLB,angel genao,Angel Genao,stolen_bases,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,2,100.0,0.0,1200.0,-4550.0,,
MLB,angel genao,Angel Genao,total_bases,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,1.5,1.5,1.5,3,100.0,0.0,109.0,-160.0,,
MLB,angel genao,Angel Genao,triples,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,1800.0,-15000.0,,
MLB,angel genao,Angel Genao,walks,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,360.0,-655.0,,
MLB,austin hedges,Austin Hedges,doubles,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,3,100.0,0.0,650.0,-1300.0,,
MLB,austin hedges,Austin Hedges,hits,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,4,100.0,0.0,5.0,-135.0,0.5,0.0
MLB,austin hedges,Austin Hedges,hits_runs_rbis,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,2,100.0,0.0,-132.5,-12.5,,
MLB,austin hedges,Austin Hedges,home_runs,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,4,100.0,0.0,1420.0,-3000.0,,
MLB,austin hedges,Austin Hedges,rbis,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,4,100.0,0.0,392.5,-737.5,,
MLB,austin hedges,Austin Hedges,runs,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,3,100.0,0.0,450.0,-410.0,,
MLB,austin hedges,Austin Hedges,singles,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,165.0,-255.0,,
MLB,austin hedges,Austin Hedges,total_bases,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,1.5,3,66.7,0.471,115.0,-170.0,0.5,0.0
MLB,austin hedges,Austin Hedges,walks,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,1.5,1.5,1.5,1,100.0,0.0,310.0,-535.0,,
MLB,blade tidwell,Blade Tidwell,pitcher_strikeouts,4b25e965b62d7c19e2aa8fbfff667da3,2026-09-03T16:35:00Z,,,4.5,4.5,4.5,4,100.0,0.0,-1.0,-134.5,4.0,-0.5
MLB,blaze alexander,Blaze Alexander,doubles,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,5,100.0,0.0,360.0,-600.0,,
MLB,blaze alexander,Blaze Alexander,hits,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,1.5,6,83.3,0.373,-219.0,150.0,,
MLB,blaze alexander,Blaze Alexander,hits_runs_rbis,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,1.5,1.5,1.5,4,100.0,0.0,-116.5,-123.0,1.5,0.0
MLB,blaze alexander,Blaze Alexander,home_runs,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,4,100.0,0.0,900.0,-1800.0,,
MLB,blaze alexander,Blaze Alexander,pitcher_strikeouts,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,2,100.0,0.0,-217.5,165.0,,
MLB,blaze alexander,Blaze Alexander,rbis,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,7,100.0,0.0,250.0,-367.5,,
MLB,blaze alexander,Blaze Alexander,runs,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,4,100.0,0.0,122.5,-184.0,,
MLB,blaze alexander,Blaze Alexander,singles,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,3,100.0,0.0,-130.0,-103.0,0.5,0.0
MLB,blaze alexander,Blaze Alexander,stolen_bases,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,7,100.0,0.0,800.0,-1840.0,,
MLB,blaze alexander,Blaze Alexander,total_bases,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,1.5,1.5,1.5,7,100.0,0.0,136.0,-192.0,,
MLB,blaze alexander,Blaze Alexander,triples,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,3,100.0,0.0,2600.0,,,
MLB,blaze alexander,Blaze Alexander,walks,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,2,100.0,0.0,299.0,-514.5,,
MLB,blaze alexander runs,Blaze Alexander - Runs,runs,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,1,100.0,0.0,115.0,-155.0,,
MLB,bobby witt,Bobby Witt,hits,18307ff6045b1448e7ad3a1f2d836c6a,2026-09-03T23:40:00Z,,,0.5,0.5,0.5,1,100.0,0.0,-335.0,215.0,,
MLB,bobby witt,Bobby Witt,rbis,18307ff6045b1448e7ad3a1f2d836c6a,2026-09-03T23:40:00Z,,,0.5,0.5,0.5,1,100.0,0.0,133.0,-186.0,,
MLB,bobby witt,Bobby Witt,total_bases,18307ff6045b1448e7ad3a1f2d836c6a,2026-09-03T23:40:00Z,,,1.5,1.5,1.5,1,100.0,0.0,100.0,-139.0,,
MLB,bobby witt jr,Bobby Witt Jr.,hits,18307ff6045b1448e7ad3a1f2d836c6a,2026-09-03T23:40:00Z,,,1.5,1.5,1.5,1,100.0,0.0,182.0,,,
MLB,bobby witt jr,Bobby Witt Jr.,hits_runs_rbis,18307ff6045b1448e7ad3a1f2d836c6a,2026-09-03T23:40:00Z,,,1.5,1.5,1.5,1,100.0,0.0,-153.0,130.0,,
MLB,bobby witt jr,Bobby Witt Jr.,home_runs,18307ff6045b1448e7ad3a1f2d836c6a,2026-09-03T23:40:00Z,,,0.5,0.5,0.5,1,100.0,0.0,401.0,-670.0,,
MLB,bobby witt jr,Bobby Witt Jr.,rbis,18307ff6045b1448e7ad3a1f2d836c6a,2026-09-03T23:40:00Z,,,1.5,1.5,1.5,1,100.0,0.0,506.0,,,
MLB,bobby witt jr,Bobby Witt Jr.,runs,18307ff6045b1448e7ad3a1f2d836c6a,2026-09-03T23:40:00Z,,,0.5,0.5,0.5,1,100.0,0.0,-115.0,113.0,0.5,0.0
MLB,bobby witt jr,Bobby Witt Jr.,total_bases,18307ff6045b1448e7ad3a1f2d836c6a,2026-09-03T23:40:00Z,,,2.5,2.5,2.5,1,100.0,0.0,194.0,,1.5,-1.0
MLB,braden montgomery,Braden Montgomery,doubles,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,0.5,0.5,0.5,2,100.0,0.0,500.0,-800.0,,
MLB,braden montgomery,Braden Montgomery,hits,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,0.5,0.5,0.5,3,100.0,0.0,-205.0,137.5,,
MLB,braden montgomery,Braden Montgomery,hits_runs_rbis,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,1.5,1.5,1.5,1,100.0,0.0,115.0,-170.0,,
MLB,braden montgomery,Braden Montgomery,home_runs,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,0.5,0.5,0.5,3,100.0,0.0,1000.0,-2500.0,,
MLB,braden montgomery,Braden Montgomery,rbis,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,0.5,0.5,0.5,2,100.0,0.0,197.5,-307.5,,
MLB,braden montgomery,Braden Montgomery,runs,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,160.0,-300.0,,
MLB,braden montgomery,Braden Montgomery,singles,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,100.0,-150.0,,
MLB,braden montgomery,Braden Montgomery,stolen_bases,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,900.0,-1800.0,,
MLB,braden montgomery,Braden Montgomery,total_bases,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,1.0,0.5,1.5,2,100.0,0.5,-3.5,-265.0,,
MLB,braden montgomery,Braden Montgomery,triples,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,2200.0,,,
MLB,brandon lowe,Brandon Lowe,doubles,4b25e965b62d7c19e2aa8fbfff667da3,2026-09-03T16:35:00Z,,,0.5,0.5,0.5,3,100.0,0.0,320.0,-500.0,,
MLB,brandon lowe,Brandon Lowe,hits,4b25e965b62d7c19e2aa8fbfff667da3,2026-09-03T16:35:00Z,,,0.5,0.5,0.5,2,100.0,0.0,-237.5,170.0,,
MLB,brandon lowe,Brandon Lowe,hits_runs_rbis,4b25e965b62d7c19e2aa8fbfff667da3,2026-09-03T16:35:00Z,,,1.5,1.5,1.5,1,100.0,0.0,-140.0,100.0,,
MLB,brandon lowe,Brandon Lowe,home_runs,4b25e965b62d7c19e2aa8fbfff667da3,2026-09-03T16:35:00Z,,,0.5,0.5,0.5,1,100.0,0.0,350.0,-525.0,,
MLB,brandon lowe,Brandon Lowe,rbis,4b25e965b62d7c19e2aa8fbfff667da3,2026-09-03T16:35:00Z,,,0.5,0.5,0.5,2,100.0,0.0,124.0,-172.0,,
MLB,brandon lowe,Brandon Lowe,runs,4b25e965b62d7c19e2aa8fbfff667da3,2026-09-03T16:35:00Z,,,0.5,0.5,0.5,2,100.0,0.0,-135.0,-230.0,0.5,0.0
MLB,brandon lowe,Brandon Lowe,stolen_bases,4b25e965b62d7c19e2aa8fbfff667da3,2026-09-03T16:35:00Z,,,0.5,0.5,0.5,1,100.0,0.0,1750.0,-20000.0,,
MLB,brandon lowe,Brandon Lowe,total_bases,4b25e965b62d7c19e2aa8fbfff667da3,2026-09-03T16:35:00Z,,,1.5,1.5,1.5,2,100.0,0.0,112.5,-152.0,,
MLB,brandon lowe,Brandon Lowe,triples,4b25e965b62d7c19e2aa8fbfff667da3,2026-09-03T16:35:00Z,,,0.5,0.5,0.5,1,100.0,0.0,4500.0,,,
MLB,brandon nimmo,Brandon Nimmo,hits,f64033ef76653cc57533ab4c515fa24b,2026-09-04T00:05:00Z,,,0.5,0.5,0.5,1,100.0,0.0,-215.0,150.0,,
MLB,brandon nimmo,Brandon Nimmo,home_runs,f64033ef76653cc57533ab4c515fa24b,2026-09-04T00:05:00Z,,,0.5,0.5,0.5,2,100.0,0.0,533.5,-1116.5,,
MLB,brandon nimmo,Brandon Nimmo,rbis,f64033ef76653cc57533ab4c515fa24b,2026-09-04T00:05:00Z,,,0.5,0.5,0.5,1,100.0,0.0,170.0,-240.0,,
MLB,brandon nimmo,Brandon Nimmo,total_bases,f64033ef76653cc57533ab4c515fa24b,2026-09-04T00:05:00Z,,,1.5,1.5,1.5,1,100.0,0.0,148.0,-205.0,,
MLB,brandon valenzuela,Brandon Valenzuela,doubles,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,2,100.0,0.0,687.5,-1582.5,,
MLB,brandon valenzuela,Brandon Valenzuela,hits,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,135.0,-200.0,0.5,0.0
MLB,brandon valenzuela,Brandon Valenzuela,hits_runs_rbis,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,-105.0,-145.0,,
MLB,brandon valenzuela,Brandon Valenzuela,home_runs,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,4,100.0,0.0,967.5,-2480.0,,
MLB,brandon valenzuela,Brandon Valenzuela,rbis,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,2,100.0,0.0,417.5,-802.5,,
MLB,brandon valenzuela,Brandon Valenzuela,runs,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,3,100.0,0.0,245.0,-380.0,,
MLB,brandon valenzuela,Brandon Valenzuela,singles,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,230.0,-360.0,,
MLB,brandon valenzuela,Brandon Valenzuela,total_bases,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,135.0,-200.0,,
MLB,brandon valenzuela,Brandon Valenzuela,walks,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,310.0,-535.0,,
MLB,brandon young,Brandon Young,earned_runs,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,2.5,2.5,2.5,6,100.0,0.0,-103.5,-129.5,,
MLB,brandon young,Brandon Young,hits_allowed,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,5.5,5.5,5.5,7,100.0,0.0,-111.0,-128.0,5.5,0.0
MLB,brandon young,Brandon Young,pitcher_strikeouts,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,4.5,4.5,5.5,8,88.9,0.314,120.0,-160.0,4.0,-0.5
MLB,brandon young,Brandon Young,walks,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,1.5,1.5,1.5,1,100.0,0.0,-117.0,113.0,,
MLB,brandon young hits allowed,Brandon Young - Hits Allowed,hits_allowed,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,5.5,5.5,5.5,1,100.0,0.0,115.0,-155.0,,
MLB,brayan rocchio,Brayan Rocchio,doubles,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,2,100.0,0.0,620.0,-1300.0,,
