event_id,start,away_team,home_team,away_moneyline,home_moneyline,away_spread,home_spread,total,sportsbooks,books_list,collected_at
f857ea6771bf681398b05379f108f0c5,2026-09-03 16:35:00+00:00,San Francisco Giants,Pittsburgh Pirates,139.0,-163.0,1.5,-1.5,8.5,9,"BetMGM, BetOnline.ag, BetRivers, BetUS, Bovada, DraftKings, FanDuel, LowVig.ag, MyBookie.ag",2026-09-03T08:50:10.862396+00:00
e956df5f498f78f522f5b8656f304df4,2026-09-03 17:10:00+00:00,Toronto Blue Jays,Cleveland Guardians,-109.0,-107.0,-1.5,1.5,8.0,9,"BetMGM, BetOnline.ag, BetRivers, BetUS, Bovada, DraftKings, FanDuel, LowVig.ag, MyBookie.ag",2026-09-03T08:50:10.863325+00:00
e3f232afa3f72858e94154eb4e526488,2026-09-03 18:10:00+00:00,Chicago White Sox,Houston Astros,135.0,-159.0,1.5,-1.5,8.5,9,"BetMGM, BetOnline.ag, BetRivers, BetUS, Bovada, DraftKings, FanDuel, LowVig.ag, MyBookie.ag",2026-09-03T08:50:10.864230+00:00
b27b102032634f4f3dc542889c7d62e9,2026-09-03 23:15:00+00:00,Boston Red Sox,Baltimore Orioles,-132.0,113.0,-1.5,1.5,8.5,9,"BetMGM, BetOnline.ag, BetRivers, BetUS, Bovada, DraftKings, FanDuel, LowVig.ag, MyBookie.ag",2026-09-03T08:50:10.865128+00:00
c3d5e91757e67f6c08706b0970a77f89,2026-09-03 23:15:00+00:00,Milwaukee Brewers,Chicago Cubs,-111.0,-105.0,-1.5,1.5,8.5,8,"BetMGM, BetOnline.ag, BetUS, Bovada, DraftKings, FanDuel, LowVig.ag, MyBookie.ag",2026-09-03T08:50:10.866003+00:00
d64025a75ea543bf8f87ab2a697704d8,2026-09-03 23:40:00+00:00,Miami Marlins,Kansas City Royals,-116.0,100.0,-1.5,1.5,9.0,9,"BetMGM, BetOnline.ag, BetRivers, BetUS, Bovada, DraftKings, FanDuel, LowVig.ag, MyBookie.ag",2026-09-03T08:50:10.866871+00:00
3ce16b1285f3f868ac4262314873f267,2026-09-04 00:05:00+00:00,Tampa Bay Rays,Texas Rangers,-125.0,107.0,-1.5,1.5,7.5,9,"BetMGM, BetOnline.ag, BetRivers, BetUS, Bovada, DraftKings, FanDuel, LowVig.ag, MyBookie.ag",2026-09-03T08:50:10.867753+00:00
9218b403d53014d099eb5bec35ae957c,2026-09-04 01:40:00+00:00,Athletics,Seattle Mariners,170.0,-204.0,1.5,-1.5,7.5,9,"BetMGM, BetOnline.ag, BetRivers, BetUS, Bovada, DraftKings, FanDuel, LowVig.ag, MyBookie.ag",2026-09-03T08:50:10.868579+00:00
a7447a61565d33b1dcfb229c623b45cb,2026-09-04 02:10:00+00:00,St. Louis Cardinals,Los Angeles Dodgers,245.0,-297.0,1.5,-1.5,7.5,9,"BetMGM, BetOnline.ag, BetRivers, BetUS, Bovada, DraftKings, FanDuel, LowVig.ag, MyBookie.ag",2026-09-03T08:50:10.869390+00:00
