player,name_key,team,position,sleeper_id,sleeper_ppr_adp,sleeper_half_adp,sleeper_std_adp
Tyler Moore,tyler moore,,TE,14062,653.3,,
Roydell Williams,roydell williams,,RB,14064,,697.2,
Jeff Weimer,jeff weimer,,WR,14067,,638.0,
Connor Hulstein,connor hulstein,NYJ,TE,14069,,661.7,
Le'Veon Bell,le veon bell,,RB,1408,,691.9,
Barika Kpeenu,barika kpeenu,,RB,14080,663.0,697.0,
Alex Tecza,alex tecza,,RB,14082,414.3,651.8,
Matthew Henry,matthew henry,,WR,14085,486.0,,
Ryan Griffin,ryan griffin,,TE,1425,489.0,,
DeAndre Hopkins,deandre hopkins,,WR,1426,,636.7,
C.J. Anderson,c j anderson,,RB,1451,696.8,688.0,
Travis Kelce,travis kelce,KC,TE,1466,89.8,93.7,106.1
DeSean Jackson,desean jackson,,WR,147,697.2,615.4,
Latavius Murray,latavius murray,,RB,1476,692.1,,
Keenan Allen,keenan allen,IND,WR,1479,200.9,178.3,204.9
Jordan Reed,jordan reed,,TE,1500,498.8,,
Chris Thompson,chris thompson,,RB,1502,449.2,683.6,
Theo Riddick,theo riddick,,RB,1517,449.6,,
Cordarrelle Patterson,cordarrelle patterson,,RB,1535,651.9,604.0,
Kenjon Barner,kenjon barner,,RB,1546,249.0,454.0,
Ryan Griffin,ryan griffin,,QB,1550,616.0,286.2,
Kenny Stills,kenny stills,,WR,1555,588.0,,
Mike Glennon,mike glennon,,QB,1559,685.0,634.0,
Tavon Austin,tavon austin,,WR,1567,,363.0,
Vance McDonald,vance mcdonald,,TE,1587,635.7,,
Spencer Ware,spencer ware,,RB,1601,627.1,,
Luke Willson,luke willson,,TE,1603,506.2,682.5,
Tyler Bray,tyler bray,,QB,1612,,307.8,
Levine Toilolo,levine toilolo,NYG,TE,1642,234.0,,
Tom Brady,tom brady,,QB,167,,664.3,
Uzoma Nwachukwu,uzoma nwachukwu,,WR,1678,,687.6,
Adam Thielen,adam thielen,,WR,1689,668.8,653.5,
Derek Carrier,derek carrier,,TE,1718,692.5,,
Case Keenum,case keenum,CHI,QB,1737,662.0,664.7,
Josh Hill,josh hill,,TE,1777,431.6,,
Matt Schaub,matt schaub,,QB,178,656.5,692.8,
Trey Burton,trey burton,,TE,1793,,678.0,
Jordan Matthews,jordan matthews,,TE,1800,638.5,,
Drew Stanton,drew stanton,,QB,181,,685.0,
Sammy Watkins,sammy watkins,,WR,1817,679.9,664.6,
Jarvis Landry,jarvis landry,,WR,1825,694.3,550.2,
Jimmy Garoppolo,jimmy garoppolo,,QB,1837,685.4,597.0,
Adrian Peterson,adrian peterson,,RB,184,,646.2,
James White,james white,,RB,1848,,676.4,
Quincy Enunwa,quincy enunwa,,WR,1854,336.3,,
AJ McCarron,aj mccarron,,QB,1895,700.0,684.0,
Joe Flacco,joe flacco,CIN,QB,19,,698.8,
Willie Snead,willie snead,,WR,1911,695.3,,
Martavis Bryant,martavis bryant,,WR,1916,608.7,680.0,
Donte Moncrief,donte moncrief,,WR,1971,641.5,,
Blake Bortles,blake bortles,NO,QB,1979,624.7,683.7,
Allen Hurns,allen hurns,MIA,WR,1984,590.5,,
Marqise Lee,marqise lee,,WR,1987,485.7,,
Allen Robinson,allen robinson,,WR,1992,627.9,656.2,
Bennie Fowler,bennie fowler,,WR,2003,635.0,,
Cody Latimer,cody latimer,,WR,2004,656.5,,
De'Anthony Thomas,de anthony thomas,,WR,2023,670.0,,
Derek Carr,derek carr,,QB,2028,,674.1,
Brelan Chancellor,brelan chancellor,,WR,2044,659.5,611.5,
Odell Beckham,odell beckham,NYG,WR,2078,,690.4,
Josh McCown,josh mccown,,QB,208,677.6,636.6,
David Fales,david fales,,QB,2106,458.5,,
Senorise Perry,senorise perry,,RB,2114,386.0,,
Eric Ebron,eric ebron,PIT,TE,2118,646.1,,
James Franklin,james franklin,,QB,2119,690.6,663.2,
Davante Adams,davante adams,LAR,WR,2133,50.3,55.8,45.6
Richard Rodgers,richard rodgers,,TE,2146,636.7,614.5,
Teddy Bridgewater,teddy bridgewater,,QB,2152,,687.4,
Devonta Freeman,devonta freeman,,RB,2168,687.3,627.6,
Brandin Cooks,brandin cooks,,WR,2197,,683.0,
Timothy Flanders,timothy flanders,,RB,2200,644.0,691.9,
Cameron Brate,cameron brate,,TE,2214,,687.0,
Mike Evans,mike evans,SF,WR,2216,62.5,62.1,59.5
Garrett Gilbert,garrett gilbert,,QB,2229,619.6,,
Larry Fitzgerald,larry fitzgerald,,WR,223,,613.7,
