player,name_key,team,position,sleeper_id,sleeper_ppr_adp,sleeper_half_adp,sleeper_std_adp
Evan Engram,evan engram,DEN,TE,4066,,699.6,
Mike Williams,mike williams,,WR,4068,563.6,550.4,
Zay Jones,zay jones,,WR,4080,643.0,647.4,
Curtis Samuel,curtis samuel,,WR,4082,688.8,,
Adam Shaheen,adam shaheen,,TE,4085,494.5,529.5,
Gerald Everett,gerald everett,,TE,4089,540.0,502.5,
Kareem Hunt,kareem hunt,,RB,4098,,685.6,
Carlos Henderson,carlos henderson,,WR,4108,395.5,561.8,
D'Onta Foreman,d onta foreman,,RB,4111,631.5,,
Taywan Taylor,taywan taylor,,WR,4125,645.8,,
Chad Williams,chad williams,,WR,4128,698.3,,
Kenny Golladay,kenny golladay,,WR,4131,,675.8,
James Conner,james conner,ARI,RB,4137,230.0,227.5,92.4
Amara Darboh,amara darboh,,WR,4139,278.3,,
Jonnu Smith,jonnu smith,GB,TE,4144,,661.4,
Samaje Perine,samaje perine,CIN,RB,4147,,629.6,
Jamaal Williams,jamaal williams,,RB,4149,,390.0,
Wayne Gallman,wayne gallman,,RB,4150,626.0,602.5,
Jake Butt,jake butt,,TE,4151,,689.9,
Marlon Mack,marlon mack,,RB,4152,693.0,675.8,
Jordan Leggett,jordan leggett,,TE,4153,259.0,,
Tarik Cohen,tarik cohen,,RB,4157,,506.0,
Ryan Switzer,ryan switzer,,WR,4162,592.0,,
Josh Reynolds,josh reynolds,,WR,4171,314.5,410.0,
Chad Hansen,chad hansen,,WR,4175,345.1,,
Mack Hollins,mack hollins,NE,WR,4177,,697.0,
Joshua Dobbs,joshua dobbs,DET,QB,4179,692.3,692.8,
Nathan Peterman,nathan peterman,,QB,4183,693.2,666.7,
Bucky Hodges,bucky hodges,,TE,4184,697.0,669.4,
Eric Saubert,eric saubert,SEA,TE,4189,575.5,538.5,
Aaron Jones,aaron jones,MIN,RB,4199,127.6,116.9,84.7
Rodney Adams,rodney adams,,WR,4208,281.5,,
Matthew Stafford,matthew stafford,LAR,QB,421,95.4,106.9,117.6
Shelton Gibson,shelton gibson,,WR,4214,627.6,674.7,
George Kittle,george kittle,SF,TE,4217,83.3,84.7,99.2
Trent Taylor,trent taylor,,WR,4218,522.0,,
Jeremy McNichols,jeremy mcnichols,WAS,RB,4219,,557.0,
Jeremy Sprinkle,jeremy sprinkle,,TE,4221,537.8,666.9,
Noah Brown,noah brown,,WR,4234,633.8,,
Isaiah Ford,isaiah ford,,WR,4252,,681.0,
Elijah McGuire,elijah mcguire,KC,RB,4263,573.3,,
Chris Carson,chris carson,,RB,4273,685.1,,
David Moore,david moore,CAR,WR,4274,575.5,650.7,
Khalfani Muhammad,khalfani muhammad,,RB,4283,,671.7,
Robert Davis,robert davis,,WR,4285,318.3,,
Scott Orndoff,scott orndoff,,TE,4309,382.0,,
Johnny Mundt,johnny mundt,PHI,TE,4314,699.8,698.6,
Zach Pascal,zach pascal,,WR,4319,596.0,,
James Quick,james quick,,WR,4320,,298.0,
Dalton Crossan,dalton crossan,,RB,4322,476.5,,
Darrell Daniels,darrell daniels,,TE,4323,662.0,,
Bug Howard,bug howard,,TE,4326,648.0,,
Colin Jeter,colin jeter,,TE,4327,650.8,,
Jerome Lane,jerome lane,,WR,4328,681.0,668.3,
P.J. Walker,p j walker,,QB,4335,,672.5,
Levern Jacobs,levern jacobs,,WR,4338,338.4,,
Taquan Mizzell,taquan mizzell,NYG,RB,4349,609.0,498.3,
Tim Patrick,tim patrick,NYJ,WR,4351,573.0,655.2,
Austin Duke,austin duke,,WR,4358,665.0,,
Karel Hamilton,karel hamilton,,WR,4364,544.3,,
Stanley Williams,stanley williams,,RB,4373,,626.0,
Taysom Hill,taysom hill,,TE,4381,,688.6,
Aaron Peck,aaron peck,,TE,4384,675.9,,
Damore'ea Stringfellow,damore ea stringfellow,,WR,4401,694.0,619.3,
Terrell Newby,terrell newby,,RB,4408,626.0,,
Josiah Price,josiah price,,TE,4409,694.8,683.5,
Jacob Hollister,jacob hollister,,TE,4421,653.6,,
Anthony Firkser,anthony firkser,,TE,4435,580.5,,
Pharaoh Brown,pharaoh brown,IND,TE,4443,452.7,431.6,
Kendrick Bourne,kendrick bourne,ARI,WR,4454,,672.6,
Matt Breida,matt breida,,RB,4455,649.3,347.7,
Tyler McCloskey,tyler mccloskey,,RB,4463,698.7,,
Nick Mullens,nick mullens,JAX,QB,4464,660.0,570.0,
Antony Auclair,antony auclair,,TE,4468,655.0,,
Sefo Liufau,sefo liufau,,QB,4475,698.4,,
Bobo Wilson,bobo wilson,,WR,4480,678.0,,
William Stanback,william stanback,,RB,4485,,694.6,
Alonzo Moore,alonzo moore,,WR,4494,275.0,,
Tony Stevens,tony stevens,,WR,4497,374.0,,
John Robinson-Woodgett,john robinson woodgett,,RB,4504,569.7,449.1,
Gabe Marks,gabe marks,,WR,4508,254.0,,
Krishawn Hogan,krishawn hogan,,WR,4526,649.0,,
Trevor Knight,trevor knight,,QB,4528,655.6,,
Ricky Seals-Jones,ricky seals jones,,TE,4531,,556.5,
Steven Wroblewski,steven wroblewski,,TE,4535,637.7,641.4,
Jordan Johnson,jordan johnson,,RB,4537,617.0,,
Keith Towbridge,keith towbridge,,TE,4545,363.2,,
Michael Crabtree,michael crabtree,,WR,455,,692.0,
Tanner Gentry,tanner gentry,,WR,4551,246.0,666.0,
Brian Brown,brian brown,,WR,4569,530.7,,
Blake Jarwin,blake jarwin,,TE,4571,696.0,,
Cooper Rush,cooper rush,ATL,QB,4574,681.8,698.0,
Kyle Sloter,kyle sloter,,QB,4588,477.0,,
Noel Thomas,noel thomas,,WR,4600,,615.5,
Robert Tonyan,robert tonyan,PIT,TE,4602,687.9,517.0,
Deante' Gray,deante gray,,WR,4610,470.0,,
Shaq Hill,shaq hill,,WR,4613,289.3,,
Caleb Bluiett,caleb bluiett,,TE,4621,,649.0,
Keelan Cole,keelan cole,,WR,4622,267.0,,
Tim Cook,tim cook,,RB,4623,653.5,,
Amba Etta-Tawo,amba etta tawo,,WR,4626,,480.2,
I'Tavius Mathers,i tavius mathers,,RB,4630,341.3,,
Colin Thompson,colin thompson,,TE,4647,641.0,,
Billy Brown,billy brown,,TE,4650,534.5,,
Corey Clement,corey clement,,RB,4651,699.5,,
Austin Ekeler,austin ekeler,,RB,4663,,632.2,
Artavis Scott,artavis scott,,WR,4670,570.8,,
Tyrone Swoopes,tyrone swoopes,,TE,4678,381.9,688.0,
Aaron Bailey,aaron bailey,BAL,QB,4683,254.0,,
Tyler Ferguson,tyler ferguson,,QB,4704,698.0,627.5,
Gio Pascascio,gio pascascio,,WR,4710,260.7,539.3,
Dare Ogunbowale,dare ogunbowale,LV,RB,4718,,684.8,
Phazahn Odom,phazahn odom,,TE,4725,,673.0,
Mitchell Paige,mitchell paige,,WR,4727,233.0,,
Bart Houston,bart houston,,QB,4728,700.9,,
Sam Cotton,sam cotton,,TE,4730,684.0,649.5,
Alex Gray,alex gray,,TE,4733,679.6,687.0,
Dan Arnold,dan arnold,,TE,4741,671.9,567.0,
Barrett Burns,barrett burns,BAL,TE,4744,640.3,656.5,
Stevie Donatell,stevie donatell,,TE,4747,,601.0,
Adam Zaruba,adam zaruba,,TE,4768,,485.0,
De'Mard Llorens,de mard llorens,,RB,4774,339.5,,
David Olson,david olson,,QB,4775,656.3,,
De'Chavon Hayes,de chavon hayes,,RB,4777,642.5,689.0,
Bra'Lon Cherry,bra lon cherry,,WR,4779,411.0,,
Kermit Whitfield,kermit whitfield,,WR,4785,314.5,,
Jordan Westerkamp,jordan westerkamp,,WR,4787,678.5,496.0,
Robert Wheelwright,robert wheelwright,,WR,4790,,319.0,
Tommy Armstrong Jr.,tommy armstrong,,QB,4794,,260.0,
Josh Rounds,josh rounds,,RB,4797,323.6,,
C.J. Germany,c j germany,,WR,4798,649.5,622.2,
Nate Iese,nate iese,,TE,4803,,681.5,
Pig Howard,pig howard,,WR,4805,,590.9,
Mike Estes,mike estes,,TE,4807,,643.0,
De'Quan Hampton,de quan hampton,,WR,4814,482.0,442.7,
Brian Riley,brian riley,,WR,4815,695.5,,
Germone Hopper,germone hopper,,WR,4827,691.1,,
Daniel Williams,daniel williams,,WR,4829,663.8,,
Mitch Leidner,mitch leidner,,QB,4839,431.5,554.7,
Jerod Evans,jerod evans,,QB,4853,656.5,,
Josh Rosen,josh rosen,,QB,4863,658.3,659.5,
Jevoni Robinson,jevoni robinson,,TE,4864,611.7,,
Saquon Barkley,saquon barkley,PHI,RB,4866,12.3,10.2,13.4
Chris Bazile,chris bazile,,TE,4874,369.0,,
Brandon Zylstra,brandon zylstra,,WR,4878,,381.7,
Lamar Jackson,lamar jackson,BAL,QB,4881,31.9,34.7,23.4
Baker Mayfield,baker mayfield,TB,QB,4892,143.5,155.6,143.6
Chase Daniel,chase daniel,,QB,490,690.5,582.2,
Danny Amendola,danny amendola,,WR,491,,645.5,
Quincy McDuffie,quincy mcduffie,,WR,4910,526.0,,
Daryl Virgies,daryl virgies,,RB,4917,453.0,,
Garrett Scantling,garrett scantling,ATL,WR,4922,394.0,,
Zach Terrell,zach terrell,BAL,QB,4924,700.0,,
Ahmad Fulwood,ahmad fulwood,,WR,4929,657.3,,
Franko House,franko house,CHI,TE,4930,,667.3,
Austin Appleby,austin appleby,,QB,4931,676.6,319.3,
Jalen Williams,jalen williams,,WR,4934,692.5,,
Skyler Howard,skyler howard,SEA,QB,4936,388.4,327.5,
Speedy Noil,speedy noil,,WR,4938,274.0,,
DeSean Smith,desean smith,,TE,4940,657.0,,
Sam Darnold,sam darnold,SEA,QB,4943,163.7,185.4,168.4
Derrius Guice,derrius guice,,RB,4949,662.5,,
Christian Kirk,christian kirk,SF,WR,4950,241.7,692.7,209.5
Ronald Jones,ronald jones,,RB,4955,473.0,,
Sony Michel,sony michel,,RB,4962,672.0,277.0,
Mason Rudolph,mason rudolph,PIT,QB,4972,,655.3,
Hayden Hurst,hayden hurst,,TE,4973,697.0,661.5,
Calvin Ridley,calvin ridley,TEN,WR,4981,253.2,250.7,180.2
DJ Moore,dj moore,BUF,WR,4983,53.8,52.9,58.5
Josh Allen,josh allen,BUF,QB,4984,21.4,20.3,15.0
Rashaad Penny,rashaad penny,,RB,4985,642.6,690.5,
Nick Chubb,nick chubb,,RB,4988,,656.8,
Dante Pettis,dante pettis,,WR,4992,636.7,,
Mike Gesicki,mike gesicki,CIN,TE,4993,,659.6,
Kalen Ballage,kalen ballage,,RB,4994,665.0,573.5,
Ian Thomas,ian thomas,LV,TE,4995,377.6,612.9,
Kyle Lauletta,kyle lauletta,,QB,4996,600.6,292.0,
Mark Walton,mark walton,,RB,4997,557.0,,
Chase Edmonds,chase edmonds,,RB,5000,578.1,346.6,
Dalton Schultz,dalton schultz,HOU,TE,5001,184.0,207.0,97.6
Ito Smith,ito smith,DAL,RB,5004,681.3,,
Durham Smythe,durham smythe,BAL,TE,5008,663.1,684.0,
Chris Herndon,chris herndon,,TE,5009,682.0,239.0,
Will Dissly,will dissly,,TE,5010,647.0,,
Mark Andrews,mark andrews,BAL,TE,5012,128.3,122.9,95.9
Anthony Miller,anthony miller,,WR,5013,237.0,,
Dallas Goedert,dallas goedert,PHI,TE,5022,121.6,124.4,93.6
James Washington,james washington,,WR,5024,681.9,321.0,
Jordan Akins,jordan akins,,TE,5032,285.8,,
Michael Gallup,michael gallup,,WR,5038,,364.0,
Courtland Sutton,courtland sutton,DEN,WR,5045,80.7,80.2,71.9
Royce Freeman,royce freeman,,RB,5046,489.7,,
Ronald Jones,ronald jones,,RB,5052,490.0,564.0,
Kerryon Johnson,kerryon johnson,,RB,5068,,601.9,
John Kelly,john kelly,,RB,5076,523.9,,
Marquez Valdes-Scantling,marquez valdes scantling,,WR,5086,629.8,632.5,
Mike White,mike white,,QB,5089,658.3,,
Troy Fumagalli,troy fumagalli,,TE,5092,566.0,,
Ryan Izzo,ryan izzo,,TE,5094,407.5,295.0,
Ray-Ray McCloud,ray ray mccloud,CHI,WR,5096,,675.5,
Deon Cain,deon cain,,WR,5101,687.5,,
Daurice Fountain,daurice fountain,,WR,5102,593.0,,
Dylan Cantrell,dylan cantrell,,TE,5103,523.0,,
Jaylen Samuels,jaylen samuels,,RB,5107,654.0,643.5,
Luke Falk,luke falk,,QB,5108,690.7,,
Russell Gage,russell gage,,WR,5110,498.0,,
Javon Wims,javon wims,,WR,5111,683.8,,
Bo Scarbrough,bo scarbrough,,RB,5112,682.7,,
Cedrick Wilson,cedrick wilson,,WR,5113,622.9,539.0,
Jordan Thomas,jordan thomas,,TE,5117,663.0,,
Danny Etling,danny etling,,QB,5120,599.1,,
Braxton Berrios,braxton berrios,NYG,WR,5121,691.1,689.9,
Boston Scott,boston scott,,RB,5122,682.6,631.5,
Trenton Cannon,trenton cannon,,RB,5123,264.0,536.3,
Alex McGough,alex mcgough,,QB,5124,663.8,,
Damoun Patterson,damoun patterson,,WR,5125,697.5,,
Austin Proehl,austin proehl,,WR,5126,579.7,,
Kyle Allen,kyle allen,BUF,QB,5127,665.6,672.0,
Logan Woodside,logan woodside,,QB,5128,595.6,,
Adonis Jennings,adonis jennings,,WR,5129,249.0,467.7,
Auden Tate,auden tate,,WR,5130,688.8,,
Justin Jackson,justin jackson,,RB,5131,639.3,404.7,
Steven Mitchell,steven mitchell,,WR,5132,,384.5,
Tyler Conklin,tyler conklin,DET,TE,5133,676.4,644.8,
Keith Kirkwood,keith kirkwood,,WR,5134,655.7,660.8,
Josh Adams,josh adams,,RB,5136,253.0,682.3,
Richie James,richie james,,WR,5137,441.0,,
Martez Carter,martez carter,,RB,5138,630.0,,
Trey Quinn,trey quinn,,WR,5139,644.0,,
Kurt Benkert,kurt benkert,,QB,5142,,615.2,
Demario Richard,demario richard,,RB,5143,676.0,,
Malik Williams,malik williams,,RB,5144,632.6,,
Rob Gronkowski,rob gronkowski,,TE,515,,617.5,
Trent Sherfield,trent sherfield,BUF,WR,5154,699.3,,
Reggie Bonnafon,reggie bonnafon,,RB,5162,492.0,,
Ryan Nall,ryan nall,,RB,5163,695.0,466.3,
Da'Mari Scott,da mari scott,,WR,5166,649.0,,
Malik Earl,malik earl,,WR,5169,480.5,,
Phillip Lindsay,phillip lindsay,,RB,5170,,658.5,
Allen Lazard,allen lazard,,WR,5185,694.8,676.5,
Ethan Wolf,ethan wolf,,TE,5196,,577.3,
Byron Pringle,byron pringle,,WR,5199,667.1,375.3,
Terry Swanson,terry swanson,,RB,5201,682.0,,
Marchie Murdock,marchie murdock,,WR,5207,565.0,,
Mike Boone,mike boone,,RB,5209,435.3,671.2,
Jake Wieneke,jake wieneke,,WR,5211,,382.0,
Jason Reese,jason reese,,TE,5217,,312.0,
Godwin Igwebuike,godwin igwebuike,,RB,5220,532.3,617.0,
Caleb Scott,caleb scott,TEN,WR,5223,,279.0,
Taj Williams,taj williams,,WR,5224,376.0,251.0,
J.T. Barrett,j t barrett,,QB,5228,696.6,380.0,
Cole Hunt,cole hunt,,TE,5231,453.0,262.0,
Marcus Baugh,marcus baugh,,TE,5233,284.0,482.7,
David Wells,david wells,,TE,5235,,265.0,
Kyle Lewis,kyle lewis,,WR,5236,346.0,242.0,
Lamar Jordan,lamar jordan,,QB,5239,622.2,625.3,
Christian Blake,christian blake,,WR,5241,644.4,354.0,
Dontez Byrd,dontez byrd,,WR,5242,283.0,309.0,
Detrich Clark,detrich clark,,WR,5243,679.5,647.5,
Devin Gray,devin gray,,WR,5244,268.0,377.0,
Troy Mangen,troy mangen,,TE,5245,329.0,455.0,
Jake Roh,jake roh,,TE,5246,416.0,,
Gus Edwards,gus edwards,,RB,5248,656.4,567.8,
Ray Lawry,ray lawry,,RB,5252,361.8,269.0,
Jordan Franks,jordan franks,,TE,5253,296.8,,
Jimmy Williams,jimmy williams,,WR,5254,660.7,525.8,
Teo Redding,teo redding,,WR,5255,255.0,,
Tim Boyle,tim boyle,,QB,5257,503.9,488.0,
Vyncint Smith,vyncint smith,,WR,5260,687.7,,
Jester Weah,jester weah,,WR,5261,539.5,335.0,
Nic Shimonek,nic shimonek,,QB,5265,392.4,,
Buddy Howell,buddy howell,,RB,5271,667.0,,
Kamryn Pettway,kamryn pettway,,RB,5273,687.7,,
Tyler Hoppes,tyler hoppes,,TE,5276,680.0,,
Deon Yelder,deon yelder,,TE,5277,245.0,,
Jarvion Franklin,jarvion franklin,,RB,5278,660.5,,
Ka'Raun White,ka raun white,,WR,5283,246.0,699.8,
Jeff Wilson,jeff wilson,,RB,5284,650.3,497.0,
Ross Dwelley,ross dwelley,,TE,5285,579.8,,
Deontay Burnett,deontay burnett,,WR,5290,494.1,,
Jordan Veasy,jordan veasy,,WR,5293,607.6,,
Mikah Holder,mikah holder,,WR,5294,349.5,,
De'Mornay Pierson-El,de mornay pierson el,,WR,5295,570.0,531.0,
Antonio Callaway,antonio callaway,,WR,5310,,660.5,
Equanimeous St. Brown,equanimeous st brown,,WR,5323,,555.3,
Colt McCoy,colt mccoy,,QB,533,658.7,668.0,
Nyheim Miller-Hines,nyheim miller hines,,RB,5347,,630.0,
Dorren Miller,dorren miller,,WR,5359,584.9,,
Antonio Brown,antonio brown,,WR,536,,693.0,
Justin Watson,justin watson,,WR,5374,695.2,631.3,
Emmanuel Sanders,emmanuel sanders,,WR,538,697.4,526.0,
Jack Heneghan,jack heneghan,,QB,5392,453.0,,
Armanti Foreman,armanti foreman,,WR,5401,692.9,,
Peter Pujals,peter pujals,,QB,5403,517.3,,
Sergio Bailey,sergio bailey,,WR,5408,276.0,,
Tanner Hudson,tanner hudson,CIN,TE,5409,,632.1,
John Diarse,john diarse,,WR,5425,416.0,,
Christopher Ezeala,christopher ezeala,,RB,5462,,658.8,
Mark Thompson,mark thompson,,RB,5463,680.0,,
Christian Scotland-Williamson,christian scotland williamson,,TE,5468,,517.3,
Evan Berry,evan berry,,WR,5530,659.0,,
Derrick Willies,derrick willies,,WR,5539,647.7,,
Elijah Marks,elijah marks,,WR,5548,487.0,,
Darrel Williams,darrel williams,,RB,5549,331.5,,
John David Moore,john david moore,,RB,5550,387.0,,
Chad Beebe,chad beebe,,WR,5570,671.1,,
Tim Tebow,tim tebow,,TE,559,,691.8,
Jordan Smallwood,jordan smallwood,,WR,5590,680.9,645.1,
Brogan Roback,brogan roback,,QB,5597,559.0,337.8,
Anthony Mahoungou,anthony mahoungou,,WR,5612,606.5,,
Larry Rose,larry rose,,RB,5618,672.6,,
Dalyn Dawkins,dalyn dawkins,,RB,5619,610.2,237.0,
Shaq Roland,shaq roland,CHI,WR,5638,535.0,,
Shane Wimann,shane wimann,,RB,5663,542.0,,
Zach Olstad,zach olstad,,RB,5697,699.0,,
Matt Fleming,matt fleming,,WR,5699,675.5,,
Robert Martin,robert martin,,RB,5700,483.0,,
Deontez Alexander,deontez alexander,,WR,5703,692.0,398.3,
John Franklin,john franklin,,WR,5705,601.5,,
Luis Perez,luis perez,,QB,5709,691.8,,
Tim Wilson,tim wilson,,WR,5714,675.7,,
Ryan Yurachek,ryan yurachek,,TE,5718,313.5,,
C.J. Duncan,c j duncan,,WR,5734,326.5,,
Dez Bryant,dez bryant,,WR,574,,667.3,
Eldridge Massington,eldridge massington,NO,WR,5744,637.6,,
Sherman Badie,sherman badie,,RB,5752,,698.3,
Jaeden Graham,jaeden graham,,TE,5754,,650.5,
Garrett Dickerson,garrett dickerson,,TE,5756,641.5,650.9,
Josh Smith,josh smith,,WR,5762,400.0,,
Aaron Lacombe,aaron lacombe,,WR,5772,656.5,,
Cam Serigne,cam serigne,,TE,5774,488.7,,
Mark Chapman,mark chapman,,WR,5776,690.0,326.0,
Malachi Jones,malachi jones,,WR,5777,680.2,,
Malik Turner,malik turner,,WR,5781,685.0,,
James Butler,james butler,,RB,5785,583.0,274.0,
Marcus Peterson,marcus peterson,,WR,5786,675.2,,
Gerald Holmes,gerald holmes,,RB,5791,659.3,,
Austin Wolf,austin wolf,,WR,5796,687.5,,
Darren Carrington,darren carrington,,WR,5798,699.5,,
Darius Prince,darius prince,,WR,5799,655.1,,
Justin Stockton,justin stockton,,RB,5800,682.5,,
Kobe McCrary,kobe mccrary,,RB,5801,652.5,,
Julian Williams,julian williams,,WR,5804,665.6,,
John Wolford,john wolford,,QB,5806,608.3,,
Connor Jessop,connor jessop,,QB,5808,689.7,,
Ja'Quan Gardner,ja quan gardner,,RB,5809,626.5,,
Diontae Spencer,diontae spencer,,WR,5828,515.7,,
Bryant Mitchell,bryant mitchell,,WR,5831,651.3,,
T.J. Hockenson,t j hockenson,MIN,TE,5844,165.4,184.8,127.7
DK Metcalf,dk metcalf,PIT,WR,5846,75.4,77.0,73.3
Marquise Brown,marquise brown,PHI,WR,5848,,684.9,
Kyler Murray,kyler murray,MIN,QB,5849,151.3,149.2,154.5
Josh Jacobs,josh jacobs,GB,RB,5850,38.4,38.7,20.2
Drew Lock,drew lock,SEA,QB,5854,692.7,691.4,
Noah Fant,noah fant,NO,TE,5857,,642.2,
A.J. Brown,a j brown,NE,WR,5859,17.5,19.5,33.2
J.J. Arcega-Whiteside,j j arcega whiteside,,WR,5863,600.0,,
Daniel Jones,daniel jones,IND,QB,5870,203.2,220.1,197.1
Deebo Samuel,deebo samuel,SF,WR,5872,130.4,131.2,138.4
Riley Ridley,riley ridley,,WR,5873,622.5,,
N'Keal Harry,n keal harry,,TE,5878,599.5,581.0,
Parris Campbell,parris campbell,,WR,5880,631.3,,
Ryan Finley,ryan finley,,QB,5885,667.6,598.3,
Hakeem Butler,hakeem butler,,TE,5886,,571.0,
Bryce Love,bryce love,,RB,5889,426.5,615.0,
Damien Harris,damien harris,,RB,5890,654.0,,
David Montgomery,david montgomery,HOU,RB,5892,47.2,44.0,48.3
Penny Hart,penny hart,,WR,5902,563.9,,
Will Grier,will grier,,QB,5903,,677.0,
Dawson Knox,dawson knox,BUF,TE,5906,,683.5,
Jalen Hurd,jalen hurd,,WR,5911,262.0,,
Andy Isabella,andy isabella,,WR,5915,607.0,,
Darrell Henderson,darrell henderson,,RB,5916,698.3,,
Mecole Hardman,mecole hardman,,WR,5917,649.3,623.0,
Rodney Anderson,rodney anderson,,RB,5918,250.0,,
Elijah Holyfield,elijah holyfield,,RB,5919,481.7,678.7,
Emanuel Hall,emanuel hall,,WR,5924,648.2,,
Terry McLaurin,terry mclaurin,WAS,WR,5927,56.3,53.7,55.6
Diontae Johnson,diontae johnson,,WR,5937,695.6,624.6,
Lil'Jordan Humphrey,lil jordan humphrey,DEN,WR,5938,,629.9,
Jakobi Meyers,jakobi meyers,JAX,WR,5947,124.9,132.5,77.2
Hunter Renfrow,hunter renfrow,,WR,5955,694.1,662.8,
Jalin Moore,jalin moore,,RB,5961,447.8,,
KeeSean Johnson,keesean johnson,,WR,5962,625.3,,
Tony Pollard,tony pollard,TEN,RB,5967,84.5,78.1,63.4
Greg Dortch,greg dortch,BUF,WR,5970,,584.5,
Josh Oliver,josh oliver,MIN,TE,5973,,647.4,
Trace McSorley,trace mcsorley,,QB,5974,,692.0,
Alize Mack,alize mack,,TE,5975,614.6,,
Terry Godwin,terry godwin,,WR,5977,645.2,622.0,
Myles Gaskin,myles gaskin,,RB,5980,691.3,264.0,
Anthony Ratliff-Williams,anthony ratliff williams,,WR,5984,652.4,298.0,
Foster Moreau,foster moreau,HOU,TE,5985,638.3,689.5,
Alexander Mattison,alexander mattison,,RB,5987,516.5,547.5,
Justice Hill,justice hill,BAL,RB,5995,,218.2,
Drew Sample,drew sample,CIN,TE,6001,,454.2,
Qadree Ollison,qadree ollison,,RB,6002,422.5,541.8,
Ryquell Armstead,ryquell armstead,,RB,6007,606.5,,
Gardner Minshew,gardner minshew,ARI,QB,6011,677.8,650.1,
Travis Homer,travis homer,PIT,RB,6012,695.2,,
DaMarkus Lodge,damarkus lodge,,WR,6017,657.2,,
Alex Barnes,alex barnes,,RB,6031,661.5,,
Keelan Doss,keelan doss,,WR,6032,639.0,,
Ryan Davis,ryan davis,,WR,6036,364.0,,
Brett Rypien,brett rypien,,QB,6037,664.3,,
Ty Johnson,ty johnson,BUF,RB,6039,,668.0,
Tyree Jackson,tyree jackson,,TE,6040,620.5,,
Gary Jennings,gary jennings,LAC,WR,6045,673.3,,
Dillon Mitchell,dillon mitchell,,WR,6047,609.0,562.0,
Tyre Brady,tyre brady,,WR,6049,687.8,433.5,
Travis Fulgham,travis fulgham,,WR,6059,668.1,,
Joe Webb,joe webb,,QB,606,671.3,682.3,
Devine Ozigbo,devine ozigbo,,RB,6068,682.8,,
Bruce Anderson,bruce anderson,,RB,6072,,491.5,
Kendall Blanton,kendall blanton,,TE,6081,543.8,,
Bisi Johnson,bisi johnson,,WR,6088,677.1,,
Daniel Helm,daniel helm,,TE,6089,528.2,650.5,
Emmanuel Butler,emmanuel butler,,WR,6107,578.3,,
Jacques Patrick,jacques patrick,,RB,6108,322.3,,
Jake Browning,jake browning,,QB,6111,,640.0,
Wes Hills,wes hills,,RB,6115,638.6,,
Irv Smith,irv smith,,TE,6126,644.0,,
Devin Singletary,devin singletary,NYG,RB,6130,,660.1,
Jarrett Stidham,jarrett stidham,DEN,QB,6136,,325.0,
Tommy Sweeney,tommy sweeney,,TE,6137,262.0,699.0,
Jace Sternberger,jace sternberger,,TE,6139,515.2,,
Caleb Wilson,caleb wilson,,TE,6142,,485.7,
Trayveon Williams,trayveon williams,,RB,6144,683.1,663.4,
Clayton Thorson,clayton thorson,NYG,QB,6147,672.5,648.0,
Preston Williams,preston williams,,WR,6148,514.8,,
Darius Slayton,darius slayton,NYG,WR,6149,,668.0,
Miles Sanders,miles sanders,,RB,6151,634.9,,
Dexter Williams,dexter williams,,RB,6153,621.9,640.7,
David Sills,david sills,TB,WR,6154,405.0,456.0,
Jaylen Smith,jaylen smith,,WR,6155,664.8,343.0,
Benny Snell,benny snell,,RB,6156,644.8,,
Mike Weber,mike weber,,RB,6159,689.0,,
Jimmy Graham,jimmy graham,,TE,616,604.8,616.1,
L.J. Scott,l j scott,,RB,6161,602.0,,
Alex Wesley,alex wesley,,WR,6163,642.5,,
Kahale Warring,kahale warring,,TE,6164,680.0,,
Antoine Wesley,antoine wesley,,WR,6165,689.7,,
Jordan Scarlett,jordan scarlett,MIA,RB,6167,619.0,,
John Ursua,john ursua,,WR,6168,626.5,,
Cody Thompson,cody thompson,,WR,6171,539.0,446.7,
Kerrith Whyte,kerrith whyte,GB,RB,6175,686.0,,
Darwin Thompson,darwin thompson,,RB,6178,657.5,,
Trevon Wesco,trevon wesco,,TE,6181,693.0,,
Easton Stick,easton stick,TB,QB,6185,602.2,671.5,
Aca'Cedric Ware,aca cedric ware,,RB,6187,612.0,458.2,
Damon Sheehy-Guiseppi,damon sheehy guiseppi,,WR,6195,,664.2,
Christian Wade,christian wade,,RB,6196,688.5,,
Valentine Holmes,valentine holmes,,RB,6203,686.2,685.8,
Brandon Silvers,brandon silvers,,QB,6205,550.6,,
Ishmael Hyman,ishmael hyman,,WR,6209,,299.4,
Juwann Winfree,juwann winfree,,WR,6223,,552.5,
Nick Easley,nick easley,,WR,6227,649.3,456.8,
John Lovett,john lovett,,QB,6231,575.7,607.0,
Matt Sokol,matt sokol,,TE,6233,,388.5,
Deonte Harty,deonte harty,,WR,6234,,542.5,
Travon McMillian,travon mcmillian,,RB,6236,458.9,580.1,
Wilton Speight,wilton speight,,QB,6237,692.5,,
Tyree Mayfield,tyree mayfield,,TE,6238,261.0,,
Malik Taylor,malik taylor,,WR,6239,,461.5,
Jeremy Cox,jeremy cox,,RB,6246,,628.9,
Jason Moore,jason moore,,WR,6247,641.3,,
Reggie White,reggie white,,WR,6261,262.0,,
Kyle Shurmur,kyle shurmur,,QB,6269,679.0,,
Olamide Zaccheaus,olamide zaccheaus,ATL,WR,6271,,697.7,
