cbs_raw_player,cbs_rank,cbs_adp,cbs_hi_lo,cbs_pct_drafted
T. Warren  TE  IND  Groin: Questionable for Week 1 vs. Baltimore  Tyler Warren  TE  IND  Groin: Questionable for Week 1 vs. Baltimore,56.0,57.09,39/83,99.8
J. Williams  WR  DET  Jameson Williams  WR  DET,57.0,57.19,42/76,100.0
T. McLaurin  WR  WAS  Terry McLaurin  WR  WAS,58.0,57.91,44/76,100.0
L. Burden III  WR  CHI  Groin: Questionable for Week 1 at Carolina  Luther Burden III  WR  CHI  Groin: Questionable for Week 1 at Carolina,59.0,60.4,44/84,99.9
D. Prescott  QB  DAL  Cowboys' Dak Prescott: Rests during preseason  Dak Prescott  QB  DAL  Cowboys' Dak Prescott: Rests during preseason,60.0,61.97,27/93,96.6
R. Odunze  WR  CHI  Rome Odunze  WR  CHI,61.0,66.22,49/89,99.9
J. Daniels  QB  WAS  Jayden Daniels  QB  WAS,62.0,68.97,36/103,96.4
C. Watson  WR  GB  Christian Watson  WR  GB,63.0,69.27,52/95,99.8
J. Hurts  QB  PHI  Jalen Hurts  QB  PHI,64.0,69.5,33/103,96.5
S. LaPorta  TE  DET  Hip: Questionable for Week 1 vs. New Orleans  Sam LaPorta  TE  DET  Hip: Questionable for Week 1 vs. New Orleans,65.0,70.68,49/106,99.1
M. Evans  WR  SF  Groin: Questionable for Week 1 at L.A. Rams  Mike Evans  WR  SF  Groin: Questionable for Week 1 at L.A. Rams,66.0,70.69,50/95,99.7
H. Fannin Jr.  TE  CLE  Harold Fannin Jr.  TE  CLE,67.0,71.53,41/113,99.1
T. Henderson  RB  NE  Ankle: Questionable for Week 1 at Seattle  TreVeyon Henderson  RB  NE  Ankle: Questionable for Week 1 at Seattle,68.0,72.28,51/101,99.6
M. Harrison Jr.  WR  ARI  Marvin Harrison Jr.  WR  ARI,69.0,72.65,56/94,99.8
R. Stevenson  RB  NE  Rhamondre Stevenson  RB  NE,70.0,72.81,52/102,99.6
P. Washington  WR  JAC  Parker Washington  WR  JAC,71.0,73.38,53/104,99.6
T. Kraft  TE  GB  Knee - ACL: Questionable for Week 1 at Minnesota  Tucker Kraft  TE  GB  Knee - ACL: Questionable for Week 1 at Minnesota,72.0,74.79,52/109,99.1
T. Pollard  RB  TEN  Tony Pollard  RB  TEN,73.0,77.1,56/103,99.5
K. Pitts  TE  ATL  Kyle Pitts  TE  ATL,74.0,77.59,52/114,99.0
C. Williams  QB  CHI  Caleb Williams  QB  CHI,75.0,78.09,44/110,96.5
J. Warren  RB  PIT  Jaylen Warren  RB  PIT,76.0,79.51,56/110,99.2
R. Dowdle  RB  PIT  Rico Dowdle  RB  PIT,77.0,80.68,59/108,99.5
C. Sutton  WR  DEN  Courtland Sutton  WR  DEN,78.0,81.59,61/107,99.6
T. Lawrence  QB  JAC  Trevor Lawrence  QB  JAC,79.0,82.39,44/121,96.3
G. Kittle  TE  SF  Achilles: Questionable for Week 1 at L.A. Rams  George Kittle  TE  SF  Achilles: Questionable for Week 1 at L.A. Rams,80.0,82.74,49/121,99.1
J. Brooks  RB  CAR  General Soreness: Questionable for Week 1 vs. Chicago  Jonathon Brooks  RB  CAR  General Soreness: Questionable for Week 1 vs. Chicago,81.0,84.99,62/118,98.7
D. Goedert  TE  PHI  Dallas Goedert  TE  PHI,82.0,85.11,50/131,98.3
