start,week,away,home,away_conf,home_conf,neutral,venue,home_CORE,away_CORE,CORE_gap_home_minus_away,home_SRS,away_SRS,SRS_gap_home_minus_away,Odds_matched,Odds_match_score,Odds_books,Home_moneyline,Away_moneyline,Home_spread,Total,Odds_event_id,Odds_start,start_dt,margin_form_gap_3,margin_form_gap_5,margin_form_gap_8,offense_gap_5,defense_gap_5,winpct_gap_5,rest_gap,home_field,comp_samples,comp_home_win_prob,comp_projected_margin,comp_projected_total,comp_median_distance,research_lean,research_confidence,model_status,model_vs_home_spread_edge
2026-09-04T23:00:00.000Z,1,Indiana State,Purdue,MVFC,Big Ten,False,Ross-Ade Stadium,,,,,,,True,0.92,5.0,,,-35.5,56.5,c424c1d6579f60f93c37698cc82f2ceb,2026-09-04T23:00:00Z,2026-09-04 23:00:00+00:00,15.666666666666671,25.8,17.0,10.399999999999999,15.399999999999999,0.0,0.0,1.0,50.0,0.8608701877030174,16.32472571967425,51.413150483907536,0.3067956117445015,Purdue,HIGH,RESEARCH_READY,-19.17527428032575
2026-09-04T23:00:00.000Z,1,North Carolina A&T,Georgia State,Coastal Athletic,Sun Belt,False,Center Parc Stadium,,,,,,,True,0.92,5.0,-9000.0,2300.0,-28.5,62.5,d500b645ddca0f63d4d383778b3d5b21,2026-09-04T23:00:00Z,2026-09-04 23:00:00+00:00,27.0,23.599999999999998,12.0,8.4,15.199999999999996,0.0,0.0,1.0,50.0,0.8069675836842635,15.977914201155258,55.14344317622104,0.2829017239694767,Georgia State,HIGH,RESEARCH_READY,-12.522085798844742
2026-09-05T00:00:00.000Z,1,UTEP,Oklahoma,Mountain West,SEC,False,"Memorial Stadium (Norman, OK)",,,,,,,True,0.94,3.0,180.0,-220.0,6.5,48.5,82b83ec87fc2be5faa2e9f26ac50edef,2026-10-10T16:00:00Z,2026-09-05 00:00:00+00:00,17.333333333333332,15.2,10.25,-3.8000000000000007,19.000000000000004,0.8,0.0,1.0,50.0,0.822664935173462,12.222714709140893,54.384874940687894,0.37921576404350565,Oklahoma,HIGH,RESEARCH_READY,18.722714709140895
2026-09-05T00:00:00.000Z,1,Long Island University,Kansas,NEC,Big 12,False,Memorial Stadium,,,,,,,False,0.65,,,,,,,,2026-09-05 00:00:00+00:00,19.0,17.8,24.125,13.0,4.800000000000001,0.0,0.0,1.0,50.0,0.8631311201054146,20.32696555108365,54.43476982674767,0.26680013699074234,Kansas,HIGH,RESEARCH_READY,
2026-09-05T00:00:00.000Z,1,Toledo,Michigan State,Mid-American,Big Ten,False,Spartan Stadium,,,,,,,True,0.92,9.0,-420.0,320.0,-10.0,46.5,05c2e060c97c538faeee8237a0bd60f0,2026-09-05T00:00:00Z,2026-09-05 00:00:00+00:00,-17.666666666666668,-25.4,-24.625,-8.399999999999999,-17.0,-0.6000000000000001,0.0,1.0,50.0,0.2829886614394563,-10.998825538868928,55.13026925584314,0.22267342224000997,Toledo,HIGH,RESEARCH_READY,-20.998825538868928
2026-09-05T01:00:00.000Z,1,Miami,Stanford,ACC,ACC,False,Stanford Stadium,,,,,,,True,0.96,9.0,1300.0,-3200.0,24.0,48.0,5f92cc707afed4249e1e935dbbeacb5e,2026-09-05T01:00:00Z,2026-09-05 01:00:00+00:00,-2.0,-12.799999999999999,-24.375,-0.1999999999999993,-12.6,-0.4,-23.916666666666668,1.0,50.0,0.4999719869838873,2.7962772494882198,54.332355983445055,0.6743731504076218,Miami,LOW,RESEARCH_READY,26.79627724948822
2026-09-05T01:00:00.000Z,1,Fresno State,USC,Pac-12,Big Ten,False,Los Angeles Memorial Coliseum,,,,,,,True,0.96,9.0,-2300.0,1116.0,-21.5,52.0,a77e0c42754f1a99ae4fbea861a78408,2026-09-05T01:00:00Z,2026-09-05 01:00:00+00:00,0.33333333333333215,-10.6,1.25,4.199999999999999,-14.8,-0.20000000000000007,-23.75,1.0,50.0,0.6123042811295705,8.776097666361425,55.13263895532958,0.6101541935289974,USC,MEDIUM,RESEARCH_READY,-12.723902333638575
2026-09-05T16:00:00.000Z,1,Ohio,Nebraska,Mid-American,Big Ten,False,"Memorial Stadium (Lincoln, NE)",,,,,,,True,0.92,9.0,-2800.0,1226.0,-23.5,46.0,0b8f9bbc0bf1b04a819f0113922998b0,2026-09-05T16:00:00Z,2026-09-05 16:00:00+00:00,-37.666666666666664,-22.0,-18.25,-6.799999999999997,-15.200000000000003,-0.6000000000000001,0.0,1.0,50.0,0.2752879230754637,-12.996857011888203,55.996904123519926,0.25547651368995195,Ohio,HIGH,RESEARCH_READY,-36.4968570118882
2026-09-05T16:00:00.000Z,1,North Texas,Indiana,American Athletic,Big Ten,False,"Memorial Stadium (Bloomington, IN)",,,,,,,True,0.92,9.0,-100000.0,1875.0,-40.0,55.5,e599d006aed0025ea9182d6763be6fd7,2026-09-05T16:00:00Z,2026-09-05 16:00:00+00:00,19.666666666666668,10.799999999999999,5.0,-8.200000000000003,19.0,0.19999999999999996,0.0,1.0,50.0,0.6338752369987954,7.285757157552887,50.95971303407815,0.2563855374703388,Indiana,MEDIUM,RESEARCH_READY,-32.71424284244711
2026-09-05T16:00:00.000Z,1,Coastal Carolina,West Virginia,Sun Belt,Big 12,False,Milan Puskar Stadium,,,,,,,True,0.92,9.0,-1900.0,980.0,-21.0,56.0,185883640e8f90f283915ddadb0230a3,2026-09-05T16:00:00Z,2026-09-05 16:00:00+00:00,19.333333333333336,10.8,-8.25,0.6000000000000014,10.2,0.2,0.0,1.0,50.0,0.6772638723972944,6.841384641948485,52.275991797354855,0.2682090828461356,West Virginia,MEDIUM,RESEARCH_READY,-14.158615358051515
