game_date,season,week,home_team,away_team,home_points,away_points,neutral,conference_game,home_margin,total_points,home_win,home_games_before,home_pf_last3,home_pa_last3,home_margin_last3,home_pf_last5,home_pa_last5,home_margin_last5,home_pf_last8,home_pa_last8,home_margin_last8,home_winpct_last5,home_winpct_last8,home_rest_days,away_games_before,away_pf_last3,away_pa_last3,away_margin_last3,away_pf_last5,away_pa_last5,away_margin_last5,away_pf_last8,away_pa_last8,away_margin_last8,away_winpct_last5,away_winpct_last8,away_rest_days,margin_form_gap_3,margin_form_gap_5,margin_form_gap_8,offense_gap_5,defense_gap_5,winpct_gap_5,rest_gap,home_field,history_ready
2016-08-27 02:00:00+00:00,2016,1,California,Hawai'i,51.0,31.0,True,False,20.0,82.0,1,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,False
2016-09-01 23:00:00+00:00,2016,1,Central Michigan,Presbyterian,49.0,3.0,False,False,46.0,52.0,1,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,False
2016-09-01 23:00:00+00:00,2016,1,Cincinnati,UT Martin,28.0,7.0,False,False,21.0,35.0,1,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,False
2016-09-01 23:00:00+00:00,2016,1,Louisville,Charlotte,70.0,14.0,False,False,56.0,84.0,1,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,False
2016-09-01 23:00:00+00:00,2016,1,UConn,Maine,24.0,21.0,False,False,3.0,45.0,1,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,False
2016-09-01 23:00:00+00:00,2016,1,Wake Forest,Tulane,7.0,3.0,False,False,4.0,10.0,1,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,False
2016-09-01 23:30:00+00:00,2016,1,Florida International,Indiana,13.0,34.0,False,False,-21.0,47.0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,False
2016-09-01 23:30:00+00:00,2016,1,NC State,William & Mary,48.0,14.0,False,False,34.0,62.0,1,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,False
2016-09-01 23:30:00+00:00,2016,1,Tennessee,App State,20.0,13.0,False,False,7.0,33.0,1,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,False
2016-09-02 00:00:00+00:00,2016,1,Utah,Southern Utah,24.0,0.0,False,False,24.0,24.0,1,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,False
2016-09-02 00:00:00+00:00,2016,1,Utah State,Weber State,45.0,6.0,False,False,39.0,51.0,1,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,False
2016-09-02 00:00:00+00:00,2016,1,Vanderbilt,South Carolina,10.0,13.0,False,True,-3.0,23.0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,False
2016-09-02 00:00:00+00:00,2016,1,Western Kentucky,Rice,46.0,14.0,False,True,32.0,60.0,1,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,False
2016-09-02 01:00:00+00:00,2016,1,Idaho,Montana State,20.0,17.0,False,False,3.0,37.0,1,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,False
2016-09-02 01:00:00+00:00,2016,1,Minnesota,Oregon State,30.0,23.0,False,False,7.0,53.0,1,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,False
2016-09-02 01:00:00+00:00,2016,1,New Mexico,South Dakota,48.0,21.0,False,False,27.0,69.0,1,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,False
2016-09-02 02:00:00+00:00,2016,1,UNLV,Jackson State,63.0,13.0,True,False,50.0,76.0,1,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,False
2016-09-02 22:00:00+00:00,2016,1,Eastern Michigan,Mississippi Valley State,61.0,14.0,False,False,47.0,75.0,1,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,False
2016-09-02 23:00:00+00:00,2016,1,Buffalo,UAlbany,16.0,22.0,False,False,-6.0,38.0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,False
2016-09-02 23:00:00+00:00,2016,1,Georgia State,Ball State,21.0,31.0,False,False,-10.0,52.0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,False
2016-09-02 23:00:00+00:00,2016,1,Michigan State,Furman,28.0,13.0,False,False,15.0,41.0,1,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,False
