batter,pitch_type,pitches,weighted_pitches,avg_xwoba,avg_exit_velo,swings,whiffs,balls_in_play,hard_hits,barrels,latest_year,whiff_per_swing,hard_hit_per_bip,barrel_per_bip
455117,CH,38,20.900000000000006,0.127562125,87.33333333333333,8.25,4.95,1.6500000000000001,0.55,0.55,2025,0.6,0.3333333333333333,0.3333333333333333
455117,CS,4,2.2,0.871,79.6,0.55,0.0,0.55,0.0,0.0,2025,0.0,0.0,0.0
455117,CU,48,26.4,0.07520289855072464,84.64999999999999,9.900000000000002,7.15,1.6500000000000001,0.55,0.0,2025,0.7222222222222221,0.3333333333333333,0.0
455117,EP,4,2.2,,64.0,0.55,0.0,0.0,0.0,0.0,2025,0.0,,
455117,FA,1,0.55,0.691497,,0.0,0.0,0.0,0.0,0.0,2025,,,
455117,FC,30,16.500000000000004,0.28016693506493506,79.94444444444444,9.350000000000003,3.3,3.8499999999999996,1.1,0.0,2025,0.3529411764705881,0.28571428571428575,0.0
455117,FF,195,107.24999999999997,0.29497859828329376,82.33928571428572,51.15,16.5,18.7,7.7,1.1,2025,0.3225806451612903,0.411764705882353,0.05882352941176471
455117,FS,14,7.699999999999999,0.36619047619047623,97.69999999999999,3.3,1.6500000000000001,1.1,0.55,0.0,2025,0.5000000000000001,0.5,0.0
455117,KC,12,6.6,0.0,,1.6500000000000001,1.6500000000000001,0.0,0.0,0.0,2025,1.0,,
455117,PO,1,0.55,,,0.0,0.0,0.0,0.0,0.0,2025,,,
455117,SI,98,53.899999999999984,0.23738909700644173,77.78421052631579,26.400000000000002,2.75,14.85,4.95,0.0,2025,0.10416666666666666,0.33333333333333337,0.0
455117,SL,94,51.699999999999974,0.21516060714285706,73.19999999999999,24.2,11.0,8.8,1.6500000000000001,0.0,2025,0.4545454545454546,0.1875,0.0
455117,ST,37,20.350000000000005,0.249,82.84444444444445,8.8,3.8500000000000005,3.8500000000000005,1.1,0.0,2025,0.4375,0.2857142857142857,0.0
455117,SV,1,0.55,,,0.0,0.0,0.0,0.0,0.0,2025,,,
455117,,32,17.6,,,7.15,1.6500000000000001,2.75,0.0,0.0,2025,0.23076923076923078,0.0,0.0
456781,CH,99,54.44999999999998,0.17972904166666664,79.23870967741935,28.6,8.800000000000002,9.350000000000001,0.55,0.0,2025,0.30769230769230776,0.058823529411764705,0.0
456781,CU,43,23.650000000000002,0.31181666666666674,90.71818181818182,11.55,3.85,4.950000000000001,3.3000000000000003,0.0,2025,0.3333333333333333,0.6666666666666666,0.0
456781,EP,1,0.55,0.05,59.2,0.55,0.0,0.55,0.0,0.0,2025,0.0,0.0,0.0
456781,FA,3,1.6500000000000001,0.223,49.1,0.55,0.0,0.55,0.0,0.0,2025,0.0,0.0,0.0
456781,FC,71,39.049999999999976,0.3037381111111111,84.82916666666667,19.250000000000004,3.8500000000000005,7.7,3.3,0.0,2025,0.19999999999999998,0.42857142857142855,0.0
456781,FF,240,131.99999999999997,0.2522760722610723,85.52197802197806,64.89999999999999,12.100000000000001,20.900000000000002,11.55,0.55,2025,0.18644067796610175,0.5526315789473684,0.02631578947368421
456781,FS,6,3.3,0.29833333333333334,78.36666666666666,3.3,1.1,1.1,0.0,0.0,2025,0.33333333333333337,0.0,0.0
456781,KC,8,4.4,0.37515555555555563,99.15,2.2,1.1,1.1,1.1,0.55,2025,0.5,1.0,0.5
456781,SI,126,69.29999999999997,0.37041132,84.9296296296296,33.54999999999999,2.2,13.75,7.700000000000001,0.0,2025,0.06557377049180331,0.56,0.0
456781,SL,100,54.99999999999998,0.20464570833333331,78.43333333333332,31.35,11.0,12.100000000000001,3.85,0.55,2025,0.3508771929824561,0.3181818181818182,0.045454545454545456
456781,ST,60,32.99999999999999,0.2136229992229992,80.71999999999997,17.050000000000004,5.5,6.050000000000001,2.75,0.0,2025,0.32258064516129026,0.4545454545454545,0.0
456781,SV,7,3.8499999999999996,0.0,65.83333333333334,3.3,1.6500000000000001,0.0,0.0,0.0,2025,0.5000000000000001,,
456781,,10,5.5,,,2.2,0.55,1.6500000000000001,0.0,0.0,2025,0.25,0.0,0.0
457705,CH,158,86.89999999999998,0.34622117460981056,80.48461538461538,38.50000000000001,7.7,15.950000000000001,7.15,0.55,2025,0.19999999999999996,0.4482758620689655,0.034482758620689655
457705,CU,141,77.54999999999998,0.19261385939163717,82.14871794871793,33.55,11.0,12.100000000000001,4.95,0.0,2025,0.3278688524590164,0.40909090909090906,0.0
457705,EP,1,0.55,0.852,84.5,0.55,0.0,0.55,0.0,0.0,2025,0.0,0.0,0.0
