gamePk,gameDate,away_team,home_team,away_probable_pitcher,home_probable_pitcher,away_starter_vs_home_lineup,home_starter_vs_away_lineup,home_bullpen_workload,away_bullpen_workload,bullpen_data_present,both_starter_matchups_present,home_edge_score,sample_pitches,pitch_types_matched,h2h_book_count,h2h_median_point,h2h_median_price,spreads_book_count,spreads_median_point,spreads_median_price,totals_book_count,totals_median_point,totals_median_price,confidence,lean,decision,venue,venue_id,park_run_factor,park_factor_games,park_factor_season,temperature_f,precipitation,wind_mph,wind_gust_mph,humidity_pct,weather_hour_utc,run_environment_flag,comp_count,features_used,comp_home_win_rate,comp_avg_total_runs,comp_avg_home_margin,comp_median_distance
824470,2026-09-02T16:40:00Z,San Diego Padres,Cincinnati Reds,Casey Mize,Brandon Williamson,0.395,,30.285714285714285,39.71428571428572,True,False,-0.289,2886,6,9.0,,-9.0,9.0,0.0,-10.0,9.0,9.5,-110.0,LOW,San Diego Padres,PASS,Great American Ball Park,2602,0.9219341002144668,115,2026,95.1,0.0,7.4,10.1,39,2026-09-02T17:00:00+00:00,NEUTRAL,,,,,,
822686,2026-09-02T17:05:00Z,Atlanta Braves,Washington Nationals,Grant Holmes,Brad Lord,0.18,-0.114,28.5,30.714285714285715,True,True,-0.228,4784,12,6.0,,-10.0,6.0,0.0,-9.0,6.0,9.0,-110.0,HIGH,Atlanta Braves,PASS,Nationals Park,3309,1.2249020795123138,73,2026,92.3,0.0,2.5,6.7,52,2026-09-02T17:00:00+00:00,HITTER_FRIENDLY,,,,,,
822851,2026-09-02T18:35:00Z,Athletics,Texas Rangers,Jacob Lopez,Cody Bradford,0.061,0.269,28.33333333333333,39.142857142857146,True,True,0.198,2536,9,9.0,,-12.0,9.0,0.0,-11.5,9.0,8.0,-110.0,HIGH,Texas Rangers,PASS,Globe Life Field,5325,0.8877883927991161,69,2026,97.4,0.0,7.3,8.9,37,2026-09-02T19:00:00+00:00,PITCHER_FRIENDLY,,,,,,
824312,2026-09-02T19:10:00Z,Baltimore Orioles,Colorado Rockies,Trevor Rogers,Tomoyuki Sugano,0.061,0.241,30.25,18.0,True,True,0.093,5101,12,9.0,,-9.0,9.0,0.0,-110.0,9.0,11.0,-109.0,HIGH,Colorado Rockies,PASS,Coors Field,19,1.1821315291948564,82,2026,89.3,0.0,4.7,17.7,15,2026-09-02T19:00:00+00:00,HITTER_FRIENDLY,,,,,,
825037,2026-09-02T19:40:00Z,Philadelphia Phillies,Arizona Diamondbacks,Andrew Painter,Taylor Clarke,0.056,-0.016,16.75,28.0,True,True,-0.007,1533,13,6.0,,-90.0,6.0,0.0,-119.5,6.0,7.5,-118.0,HIGH,Philadelphia Phillies,PASS,Chase Field,15,0.9860345932094812,71,2026,101.0,0.0,6.8,13.2,28,2026-09-02T20:00:00+00:00,NEUTRAL,,,,,,
824717,2026-09-02T20:10:00Z,Seattle Mariners,Boston Red Sox,Bryce Miller,Patrick Sandoval,0.101,0.184,35.625,24.33333333333333,True,True,0.029,2697,14,9.0,,-8.5,9.0,0.0,-14.0,9.0,8.5,-110.0,HIGH,Boston Red Sox,PASS,Fenway Park,3,1.002868386303913,98,2026,72.5,0.0,11.2,15.7,57,2026-09-02T20:00:00+00:00,NEUTRAL,,,,,,
823339,2026-09-02T22:40:00Z,San Francisco Giants,Pittsburgh Pirates,Landen Roupp,Jared Jones,0.043,0.286,31.857142857142858,25.857142857142858,True,True,0.174,2721,9,7.0,,-12.5,7.0,0.0,-10.5,7.0,8.0,-110.0,HIGH,Pittsburgh Pirates,PASS,PNC Park,31,1.2382280485200754,82,2026,89.0,0.0,8.1,19.5,55,2026-09-02T23:00:00+00:00,HITTER_FRIENDLY,,,,,,
822931,2026-09-02T22:40:00Z,New York Mets,Tampa Bay Rays,Justin Hagenman,Griffin Jax,-0.112,0.185,28.125,24.55555555555556,True,True,0.224,1665,10,8.0,,-12.0,8.0,0.0,-10.5,8.0,8.0,-110.0,HIGH,Tampa Bay Rays,PASS,Tropicana Field,12,0.9765534913516976,71,2026,78.9,0.0,5.2,13.0,90,2026-09-02T23:00:00+00:00,NEUTRAL,,,,,,
824390,2026-09-02T22:40:00Z,Toronto Blue Jays,Cleveland Guardians,Dylan Cease,Joey Cantillo,0.089,0.059,22.0,25.33333333333333,True,True,-0.01,5799,11,9.0,,-9.0,9.0,0.0,-11.5,9.0,7.0,-112.5,HIGH,Toronto Blue Jays,PASS,Progressive Field,5,0.9757394573538072,99,2026,90.2,0.0,9.3,21.9,50,2026-09-02T23:00:00+00:00,NEUTRAL,,,,,,
823660,2026-09-02T23:40:00Z,Detroit Tigers,Minnesota Twins,Drew Anderson,Dean Kremer,0.259,-0.004,32.0,35.0,True,True,-0.201,3521,11,9.0,,-109.0,8.0,0.0,-15.0,9.0,9.0,-109.0,HIGH,Detroit Tigers,PASS,Target Field,3312,1.0193538940239772,70,2026,84.4,0.0,4.1,5.8,44,2026-09-03T00:00:00+00:00,NEUTRAL,,,,,,
