gamePk,officialDate,gameDate,gameType,status,away_team,away_team_id,home_team,home_team_id,away_score,home_score,venue,venue_id,seriesDescription,gameNumber,home_days_since_last,away_days_since_last,total_runs,home_run_margin,current_h2h_books,current_spreads_books,current_totals_books
776392,2025-09-09,2025-09-10T01:40:00Z,R,Final,Cincinnati Reds,113,San Diego Padres,135,4.0,2.0,Petco Park,2680,Regular Season,1,1.0,1.0,6.0,-2.0,,,
776393,2025-09-09,2025-09-09T23:07:00Z,R,Final,Houston Astros,117,Toronto Blue Jays,141,3.0,4.0,Rogers Centre,14,Regular Season,1,2.0,2.0,7.0,1.0,,,
776394,2025-09-09,2025-09-10T01:45:00Z,R,Final,Arizona Diamondbacks,109,San Francisco Giants,137,3.0,5.0,Oracle Park,2395,Regular Season,1,1.0,1.0,8.0,2.0,,,
776395,2025-09-09,2025-09-10T00:05:00Z,R,Final,Milwaukee Brewers,158,Texas Rangers,140,4.0,5.0,Globe Life Field,5325,Regular Season,1,1.0,1.0,9.0,1.0,,,
776396,2025-09-09,2025-09-10T02:05:00Z,R,Final,Boston Red Sox,111,Athletics,133,6.0,0.0,Sutter Health Park,2529,Regular Season,1,1.0,1.0,6.0,-6.0,,,
776397,2025-09-09,2025-09-09T22:40:00Z,R,Final,Washington Nationals,120,Miami Marlins,146,7.0,5.0,loanDepot park,4169,Regular Season,1,1.0,1.0,12.0,-2.0,,,
776398,2025-09-09,2025-09-09T23:05:00Z,R,Final,Detroit Tigers,116,New York Yankees,147,12.0,2.0,Yankee Stadium,3313,Regular Season,1,2.0,2.0,14.0,-10.0,,,
776399,2025-09-08,2025-09-09T01:45:00Z,R,Final,Arizona Diamondbacks,109,San Francisco Giants,137,5.0,11.0,Oracle Park,2395,Regular Season,1,1.0,1.0,16.0,6.0,,,
776400,2025-09-08,2025-09-09T01:40:00Z,R,Final,St. Louis Cardinals,138,Seattle Mariners,136,2.0,4.0,T-Mobile Park,680,Regular Season,1,1.0,1.0,6.0,2.0,,,
776401,2025-09-09,2025-09-09T22:35:00Z,R,Final,Pittsburgh Pirates,134,Baltimore Orioles,110,2.0,3.0,Oriole Park at Camden Yards,2,Regular Season,1,2.0,2.0,5.0,1.0,,,
776402,2025-09-09,2025-09-09T23:15:00Z,R,Final,Chicago Cubs,112,Atlanta Braves,144,6.0,1.0,Truist Park,4705,Regular Season,1,1.0,1.0,7.0,-5.0,,,
776403,2025-09-09,2025-09-09T22:40:00Z,R,Final,Kansas City Royals,118,Cleveland Guardians,114,0.0,2.0,Progressive Field,5,Regular Season,1,1.0,1.0,2.0,2.0,,,
776404,2025-09-09,2025-09-09T22:45:00Z,R,Final,New York Mets,121,Philadelphia Phillies,143,3.0,9.0,Citizens Bank Park,2681,Regular Season,1,1.0,1.0,12.0,6.0,,,
776405,2025-09-08,2025-09-08T22:45:00Z,R,Final,New York Mets,121,Philadelphia Phillies,143,0.0,1.0,Citizens Bank Park,2681,Regular Season,1,1.0,1.0,1.0,1.0,,,
776406,2025-09-08,2025-09-09T00:05:00Z,R,Final,Milwaukee Brewers,158,Texas Rangers,140,0.0,5.0,Globe Life Field,5325,Regular Season,1,1.0,1.0,5.0,5.0,,,
776407,2025-09-08,2025-09-09T01:40:00Z,R,Final,Cincinnati Reds,113,San Diego Padres,135,3.0,4.0,Petco Park,2680,Regular Season,1,1.0,1.0,7.0,1.0,,,
776408,2025-09-08,2025-09-09T02:10:00Z,R,Final,Colorado Rockies,115,Los Angeles Dodgers,119,1.0,3.0,Dodger Stadium,22,Regular Season,1,1.0,1.0,4.0,2.0,,,
776409,2025-09-08,2025-09-08T22:40:00Z,R,Final,Washington Nationals,120,Miami Marlins,146,15.0,7.0,loanDepot park,4169,Regular Season,1,1.0,1.0,22.0,-8.0,,,
