gamePk,gameDate,away_team,home_team,away_probable_pitcher,home_probable_pitcher,away_starter_vs_home_lineup,home_starter_vs_away_lineup,home_bullpen_workload,away_bullpen_workload,bullpen_data_present,both_starter_matchups_present,home_edge_score,sample_pitches,pitch_types_matched,h2h_book_count,h2h_median_point,h2h_median_price,spreads_book_count,spreads_median_point,spreads_median_price,totals_book_count,totals_median_point,totals_median_price,confidence,lean,decision,venue,venue_id,park_run_factor,park_factor_games,park_factor_season,temperature_f,precipitation,wind_mph,wind_gust_mph,humidity_pct,weather_hour_utc,run_environment_flag,comp_count,features_used,comp_home_win_rate,comp_avg_total_runs,comp_avg_home_margin,comp_median_distance,comp_quality_grade,comp_side,hulk_model_side,comp_alignment,comp_bucket_hist_accuracy,comp_bucket_hist_samples,decision_brain_edge_column,model_strength_0_1,comp_reliability_0_1,comp_direction_strength_0_1,comp_effective_strength_0_1,research_consensus_score,research_guardrail,_matched_market_start,market_game_time_diff_minutes,market_ml_signal_target,market_ml_signal_strength,market_ml_books_reporting,market_ml_books_moving,market_ml_consensus_among_movers_pct,market_ml_whole_market_share_pct,market_ml_avg_implied_prob_move,market_ml_market_signal,market_spread_signal_target,market_spread_signal_strength,market_spread_books_reporting,market_spread_books_moving,market_spread_consensus_among_movers_pct,market_spread_whole_market_share_pct,market_spread_avg_implied_prob_move,market_spread_market_signal,market_total_signal_target,market_total_signal_strength,market_total_books_reporting,market_total_books_moving,market_total_consensus_among_movers_pct,market_total_whole_market_share_pct,market_total_avg_implied_prob_move,market_total_market_signal,market_ml_alignment,market_spread_alignment,market_total_context,market_research_alignment,market_changes_official_decision
824470,2026-09-02T16:40:00Z,San Diego Padres,Cincinnati Reds,Casey Mize,Brandon Williamson,0.395,,30.285714285714285,39.71428571428572,True,False,-0.289,2886,6,9.0,,-9.0,9.0,0.0,-10.0,9.0,9.5,-110.0,LOW,San Diego Padres,PASS,Great American Ball Park,2602,0.9219341002144668,115,2026,95.1,0.0,7.4,10.1,39,2026-09-02T17:00:00+00:00,NEUTRAL,,,,,,,UNKNOWN,NEUTRAL,AWAY,NEUTRAL,,,home_edge_score,1.0,0.0,,,,PASS,2026-09-02 16:40:00+00:00,0.0,san diego padres,strong,14.0,12.0,100.0,85.71428571428571,0.7747526251204808,Moneyline market moved toward san diego padres,san diego padres,strong,13.0,12.0,100.0,92.3076923076923,1.1541796215854754,Spread market moved toward san diego padres,mixed,weak,13.0,8.0,50.0,30.76923076923077,-0.0919579368917895,total: mixed/no clear market direction,STRONG_SUPPORT,STRONG_SUPPORT,weak_mixed,STRONG_MARKET_SUPPORT,False
822686,2026-09-02T17:05:00Z,Atlanta Braves,Washington Nationals,Grant Holmes,Brad Lord,0.18,-0.114,28.5,30.714285714285715,True,True,-0.228,4784,12,6.0,,-10.0,6.0,0.0,-9.0,6.0,9.0,-110.0,HIGH,Atlanta Braves,PASS,Nationals Park,3309,1.2249020795123138,73,2026,92.3,0.0,2.5,6.7,52,2026-09-02T17:00:00+00:00,HITTER_FRIENDLY,,,,,,,UNKNOWN,NEUTRAL,AWAY,NEUTRAL,,,home_edge_score,0.931372549019608,0.0,,,,PASS,2026-09-02 17:05:00+00:00,0.0,atlanta braves,medium,14.0,8.0,75.0,42.85714285714285,0.3235128612931768,Moneyline market moved toward atlanta braves,atlanta braves,strong,13.0,13.0,84.61538461538461,84.61538461538461,0.5570685000483339,Spread market moved toward atlanta braves,over,strong,13.0,11.0,90.9090909090909,76.92307692307693,0.819311603727006,Total market moved toward OVER,MEDIUM_SUPPORT,STRONG_SUPPORT,strong_over,STRONG_MARKET_SUPPORT,False
822851,2026-09-02T18:35:00Z,Athletics,Texas Rangers,Jacob Lopez,Cody Bradford,0.061,0.269,28.33333333333333,39.142857142857146,True,True,0.198,2536,9,9.0,,-12.0,9.0,0.0,-11.5,9.0,8.0,-110.0,HIGH,Texas Rangers,PASS,Globe Life Field,5325,0.8877883927991161,69,2026,97.4,0.0,7.3,8.9,37,2026-09-02T19:00:00+00:00,PITCHER_FRIENDLY,,,,,,,UNKNOWN,NEUTRAL,HOME,NEUTRAL,,,home_edge_score,0.8088235294117648,0.0,,,,PASS,2026-09-02 18:35:00+00:00,0.0,athletics,weak,14.0,10.0,60.0,42.85714285714285,-0.0180227143899151,Moneyline market moved toward athletics,texas rangers,weak,13.0,4.0,75.0,23.07692307692308,0.3796164433290446,Spread market moved toward texas rangers,over,strong,13.0,11.0,81.81818181818183,69.23076923076923,0.6608612529616914,Total market moved toward OVER,WEAK_CONFLICT,WEAK_SUPPORT,strong_over,WEAK_MARKET_CONFLICT,False
824312,2026-09-02T19:10:00Z,Baltimore Orioles,Colorado Rockies,Trevor Rogers,Tomoyuki Sugano,0.061,0.241,30.25,18.0,True,True,0.093,5101,12,9.0,,-9.0,9.0,0.0,-110.0,9.0,11.0,-109.0,HIGH,Colorado Rockies,PASS,Coors Field,19,1.1821315291948564,82,2026,89.3,0.0,4.7,17.7,15,2026-09-02T19:00:00+00:00,HITTER_FRIENDLY,,,,,,,UNKNOWN,NEUTRAL,HOME,NEUTRAL,,,home_edge_score,0.3799019607843137,0.0,,,,PASS,2026-09-02 19:10:00+00:00,0.0,baltimore orioles,medium,14.0,8.0,100.0,57.14285714285714,0.4472474007885808,Moneyline market moved toward baltimore orioles,baltimore orioles,medium,13.0,9.0,66.66666666666666,46.15384615384615,0.2021572457625883,Spread market moved toward baltimore orioles,under,medium,13.0,9.0,66.66666666666666,46.15384615384615,0.2737428239218537,Total market moved toward UNDER,MEDIUM_CONFLICT,MEDIUM_CONFLICT,medium_under,MEDIUM_MARKET_CONFLICT,False
825037,2026-09-02T19:40:00Z,Philadelphia Phillies,Arizona Diamondbacks,Andrew Painter,Taylor Clarke,0.056,-0.016,16.75,28.0,True,True,-0.007,1533,13,6.0,,-90.0,6.0,0.0,-119.5,6.0,7.5,-118.0,HIGH,Philadelphia Phillies,PASS,Chase Field,15,0.9860345932094812,71,2026,101.0,0.0,6.8,13.2,28,2026-09-02T20:00:00+00:00,NEUTRAL,,,,,,,UNKNOWN,NEUTRAL,AWAY,NEUTRAL,,,home_edge_score,0.02859477124183,0.0,,,,PASS,2026-09-02 19:40:00+00:00,0.0,philadelphia phillies,weak,13.0,6.0,66.66666666666666,30.76923076923077,0.0088059772354777,Moneyline market moved toward philadelphia phillies,arizona diamondbacks,medium,12.0,5.0,100.0,41.66666666666667,0.4607947942804501,Spread market moved toward arizona diamondbacks,under,weak,12.0,3.0,100.0,25.0,-0.1759714599917342,Total market moved toward UNDER,WEAK_SUPPORT,MEDIUM_CONFLICT,weak_under,MEDIUM_MARKET_CONFLICT,False
824717,2026-09-02T20:10:00Z,Seattle Mariners,Boston Red Sox,Bryce Miller,Patrick Sandoval,0.101,0.184,35.625,24.33333333333333,True,True,0.029,2697,14,9.0,,-8.5,9.0,0.0,-14.0,9.0,8.5,-110.0,HIGH,Boston Red Sox,PASS,Fenway Park,3,1.002868386303913,98,2026,72.5,0.0,11.2,15.7,57,2026-09-02T20:00:00+00:00,NEUTRAL,,,,,,,UNKNOWN,NEUTRAL,HOME,NEUTRAL,,,home_edge_score,0.1184640522875817,0.0,,,,PASS,2026-09-02 20:10:00+00:00,0.0,boston red sox,weak,14.0,7.0,71.42857142857143,35.714285714285715,0.0701490641981272,Moneyline market moved toward boston red sox,boston red sox,medium,13.0,7.0,85.71428571428571,46.15384615384615,0.2536669270758574,Spread market moved toward boston red sox,under,weak,13.0,5.0,80.0,30.76923076923077,0.3361524599949556,Total market moved toward UNDER,WEAK_SUPPORT,MEDIUM_SUPPORT,weak_under,MEDIUM_MARKET_SUPPORT,False
823339,2026-09-02T22:40:00Z,San Francisco Giants,Pittsburgh Pirates,Landen Roupp,Jared Jones,0.043,0.286,31.857142857142858,25.857142857142858,True,True,0.174,2721,9,7.0,,-12.5,7.0,0.0,-10.5,7.0,8.0,-110.0,HIGH,Pittsburgh Pirates,PASS,PNC Park,31,1.2382280485200754,82,2026,89.0,0.0,8.1,19.5,55,2026-09-02T23:00:00+00:00,HITTER_FRIENDLY,,,,,,,UNKNOWN,NEUTRAL,HOME,NEUTRAL,,,home_edge_score,0.7107843137254902,0.0,,,,PASS,2026-09-02 22:40:00+00:00,0.0,mixed,weak,14.0,6.0,50.0,21.428571428571427,0.2249607481363102,moneyline: mixed/no clear market direction,pittsburgh pirates,medium,13.0,8.0,75.0,46.15384615384615,0.4987780414149921,Spread market moved toward pittsburgh pirates,under,strong,13.0,10.0,90.0,69.23076923076923,2.1712975150564024,Total market moved toward UNDER,NO_SIGNAL,MEDIUM_SUPPORT,strong_under,MEDIUM_MARKET_SUPPORT,False
822931,2026-09-02T22:40:00Z,New York Mets,Tampa Bay Rays,Justin Hagenman,Griffin Jax,-0.112,0.185,28.125,24.55555555555556,True,True,0.224,1665,10,8.0,,-12.0,8.0,0.0,-10.5,8.0,8.0,-110.0,HIGH,Tampa Bay Rays,PASS,Tropicana Field,12,0.9765534913516976,71,2026,78.9,0.0,5.2,13.0,90,2026-09-02T23:00:00+00:00,NEUTRAL,,,,,,,UNKNOWN,NEUTRAL,HOME,NEUTRAL,,,home_edge_score,0.9150326797385622,0.0,,,,PASS,2026-09-02 22:40:00+00:00,0.0,new york mets,medium,14.0,9.0,88.88888888888889,57.14285714285714,0.3453842018906584,Moneyline market moved toward new york mets,tampa bay rays,weak,13.0,9.0,55.55555555555556,38.46153846153847,0.9840591153518908,Spread market moved toward tampa bay rays,under,weak,13.0,6.0,66.66666666666666,30.76923076923077,-0.612677709451691,Total market moved toward UNDER,MEDIUM_CONFLICT,WEAK_SUPPORT,weak_under,MEDIUM_MARKET_CONFLICT,False
824390,2026-09-02T22:40:00Z,Toronto Blue Jays,Cleveland Guardians,Dylan Cease,Joey Cantillo,0.089,0.059,22.0,25.33333333333333,True,True,-0.01,5799,11,9.0,,-9.0,9.0,0.0,-11.5,9.0,7.0,-112.5,HIGH,Toronto Blue Jays,PASS,Progressive Field,5,0.9757394573538072,99,2026,90.2,0.0,9.3,21.9,50,2026-09-02T23:00:00+00:00,NEUTRAL,,,,,,,UNKNOWN,NEUTRAL,AWAY,NEUTRAL,,,home_edge_score,0.0408496732026143,0.0,,,,PASS,2026-09-02 22:40:00+00:00,0.0,cleveland guardians,weak,14.0,8.0,62.5,35.714285714285715,0.1421850461341708,Moneyline market moved toward cleveland guardians,toronto blue jays,weak,13.0,9.0,55.55555555555556,38.46153846153847,0.1197193672439554,Spread market moved toward toronto blue jays,over,weak,13.0,6.0,66.66666666666666,30.76923076923077,0.2493812676317635,Total market moved toward OVER,WEAK_CONFLICT,WEAK_SUPPORT,weak_over,WEAK_MARKET_CONFLICT,False
823660,2026-09-02T23:40:00Z,Detroit Tigers,Minnesota Twins,Drew Anderson,Dean Kremer,0.259,-0.004,32.0,35.0,True,True,-0.201,3521,11,9.0,,-109.0,8.0,0.0,-15.0,9.0,9.0,-109.0,HIGH,Detroit Tigers,PASS,Target Field,3312,1.0193538940239772,70,2026,84.4,0.0,4.1,5.8,44,2026-09-03T00:00:00+00:00,NEUTRAL,,,,,,,UNKNOWN,NEUTRAL,AWAY,NEUTRAL,,,home_edge_score,0.8210784313725491,0.0,,,,PASS,2026-09-02 23:40:00+00:00,0.0,minnesota twins,weak,14.0,3.0,100.0,21.428571428571427,0.1979933651149925,Moneyline market moved toward minnesota twins,detroit tigers,strong,13.0,10.0,80.0,61.53846153846154,2.4659951091733685,Spread market moved toward detroit tigers,under,strong,13.0,12.0,100.0,92.3076923076923,1.789628313417042,Total market moved toward UNDER,WEAK_CONFLICT,STRONG_SUPPORT,strong_under,STRONG_MARKET_SUPPORT,False
