away_team,home_team,game_start,core_market,signal_target,signal_strength,books_reporting,books_moving,consensus_among_movers_pct,whole_market_share_pct,avg_implied_prob_move,market_signal_score,market_signal
toronto blue jays,cleveland guardians,2026-09-02 22:40:00+00:00,spread,toronto blue jays,weak,13.0,9.0,55.55555555555556,38.46153846153847,0.1197193672439554,0.21367521367521372,Spread market moved toward toronto blue jays
seattle mariners,boston red sox,2026-09-02 20:10:00+00:00,moneyline,boston red sox,weak,14.0,7.0,71.42857142857143,35.714285714285715,0.0701490641981272,0.25510204081632654,Moneyline market moved toward boston red sox
toronto blue jays,cleveland guardians,2026-09-02 22:40:00+00:00,moneyline,cleveland guardians,weak,14.0,8.0,62.5,35.714285714285715,0.1421850461341708,0.22321428571428573,Moneyline market moved toward cleveland guardians
seattle mariners,boston red sox,2026-09-02 20:10:00+00:00,total,under,weak,13.0,5.0,80.0,30.76923076923077,0.3361524599949556,0.24615384615384617,Total market moved toward UNDER
new york mets,tampa bay rays,2026-09-02 22:40:00+00:00,total,under,weak,13.0,6.0,66.66666666666666,30.76923076923077,-0.612677709451691,0.2051282051282051,Total market moved toward UNDER
philadelphia phillies,arizona diamondbacks,2026-09-02 19:40:00+00:00,moneyline,philadelphia phillies,weak,13.0,6.0,66.66666666666666,30.76923076923077,0.0088059772354777,0.2051282051282051,Moneyline market moved toward philadelphia phillies
toronto blue jays,cleveland guardians,2026-09-02 22:40:00+00:00,total,over,weak,13.0,6.0,66.66666666666666,30.76923076923077,0.2493812676317635,0.2051282051282051,Total market moved toward OVER
san diego padres,cincinnati reds,2026-09-02 16:40:00+00:00,total,mixed,weak,13.0,8.0,50.0,30.76923076923077,-0.0919579368917895,0.0,total: mixed/no clear market direction
philadelphia phillies,arizona diamondbacks,2026-09-02 19:40:00+00:00,total,under,weak,12.0,3.0,100.0,25.0,-0.1759714599917342,0.25,Total market moved toward UNDER
athletics,texas rangers,2026-09-02 18:35:00+00:00,spread,texas rangers,weak,13.0,4.0,75.0,23.07692307692308,0.3796164433290446,0.1730769230769231,Spread market moved toward texas rangers
milwaukee brewers,chicago cubs,2026-09-02 23:40:00+00:00,spread,milwaukee brewers,weak,13.0,5.0,60.0,23.07692307692308,0.0925339208355981,0.13846153846153847,Spread market moved toward milwaukee brewers
detroit tigers,minnesota twins,2026-09-02 23:40:00+00:00,moneyline,minnesota twins,weak,14.0,3.0,100.0,21.428571428571427,0.1979933651149925,0.21428571428571427,Moneyline market moved toward minnesota twins
san francisco giants,pittsburgh pirates,2026-09-02 22:40:00+00:00,moneyline,mixed,weak,14.0,6.0,50.0,21.428571428571427,0.2249607481363102,0.0,moneyline: mixed/no clear market direction
athletics,seattle mariners,2026-09-04 01:40:00+00:00,moneyline,mixed,weak,14.0,0.0,0.0,0.0,0.0,0.0,moneyline: mixed/no clear market direction
athletics,seattle mariners,2026-09-04 01:40:00+00:00,spread,mixed,weak,13.0,0.0,0.0,0.0,0.0,0.0,spread: mixed/no clear market direction
athletics,seattle mariners,2026-09-04 01:40:00+00:00,total,mixed,weak,13.0,0.0,0.0,0.0,0.0,0.0,total: mixed/no clear market direction
boston red sox,baltimore orioles,2026-09-03 23:15:00+00:00,moneyline,mixed,weak,14.0,0.0,0.0,0.0,0.0,0.0,moneyline: mixed/no clear market direction
boston red sox,baltimore orioles,2026-09-03 23:15:00+00:00,spread,mixed,weak,13.0,0.0,0.0,0.0,0.0,0.0,spread: mixed/no clear market direction
boston red sox,baltimore orioles,2026-09-03 23:15:00+00:00,total,mixed,weak,13.0,0.0,0.0,0.0,0.0,0.0,total: mixed/no clear market direction
