bucket,samples,winner_accuracy,total_mae,margin_mae,avg_distance,avg_features_used
ALL,750,0.5133333333333333,3.62272,3.589226666666667,0.3766153677445661,11.0
A_CLOSE,360,0.48333333333333334,3.5783333333333327,3.5674444444444444,0.3055101939492484,11.0
B_GOOD,310,0.5645161290322581,3.687225806451613,3.3027096774193545,0.40363438563810766,11.0
C_FAIR,72,0.4722222222222222,3.565555555555556,4.684444444444444,0.5664744431454881,11.0
D_LOOSE,8,0.25,3.6350000000000002,5.815,0.8206295665508345,11.0
