season,venue,venue_id,games,avg_total_runs,league_runs_per_game,run_factor
2024,American Family Field,32,84,8.523809523809524,8.530823947836396,0.9991777553880183
2024,American Family Fields of Phoenix,2518,6,11.833333333333334,8.530823947836396,1.3871266604129753
2024,Angel Stadium,1,82,8.939024390243903,8.530823947836396,1.0478500605455625
2024,Arvest Ballpark,3329,1,8.0,8.530823947836396,0.9377757704200396
2024,BayCare Ballpark,2700,6,8.666666666666666,8.530823947836396,1.015923751288376
2024,Busch Stadium,2889,171,7.549707602339181,8.530823947836396,0.8849916079037069
2024,CACTI Park of the Palm Beaches,5000,10,11.7,8.530823947836396,1.3714970642393078
2024,Camelback Ranch,3809,6,10.0,8.530823947836396,1.1722197130250496
2024,Charlotte Sports Park,2534,3,9.666666666666666,8.530823947836396,1.1331457225908812
2024,Chase Field,15,83,10.626506024096386,8.530823947836396,1.2456599842025227
2024,Citi Field,3289,145,7.2,8.530823947836396,0.8439981933780357
2024,Citizens Bank Park,2681,97,9.505154639175258,8.530823947836396,1.114212964339274
2024,Clover Park,2856,5,11.2,8.530823947836396,1.3128860785880554
2024,Comerica Park,2394,127,9.251968503937007,8.530823947836396,1.0845339864601835
2024,CoolToday Park,5380,6,8.166666666666666,8.530823947836396,0.9573127656371238
2024,Coors Field,19,94,10.872340425531915,8.530823947836396,1.2744771773527666
2024,Dodger Stadium,22,90,8.88888888888889,8.530823947836396,1.0419730782444885
2024,Ed Smith Stadium,2508,4,10.25,8.530823947836396,1.2015252058506758
2024,Estadio Alfredo Harp Helu,5340,4,11.5,8.530823947836396,1.348052669978807
2024,Fenway Park,3,127,8.645669291338583,8.530823947836396,1.0134623975602397
2024,George M. Steinbrenner Field,2523,7,9.857142857142858,8.530823947836396,1.1554737171246918
2024,Globe Life Field,5325,84,8.035714285714286,8.530823947836396,0.9419622693951292
2024,Gocheok Sky Dome,5150,6,11.166666666666666,8.530823947836396,1.3089786795446385
2024,Goodyear Ballpark,3834,9,11.11111111111111,8.530823947836396,1.3024663478056104
2024,Great American Ball Park,2602,96,9.15625,8.530823947836396,1.073313674738561
2024,Guaranteed Rate Field,4,172,5.563953488372093,8.530823947836396,0.6522175961424258
2024,Hohokam Stadium,2507,5,11.0,8.530823947836396,1.2894416843275545
2024,JetBlue Park,4309,6,11.166666666666666,8.530823947836396,1.3089786795446385
2024,Journey Bank Ballpark,2735,1,5.0,8.530823947836396,0.5861098565125248
2024,Kauffman Stadium,7,83,8.927710843373495,8.530823947836396,1.04652386427899
2024,LECOM Park,2526,6,6.666666666666667,8.530823947836396,0.7814798086833664
2024,Lee Health Sports Complex,2862,5,11.8,8.530823947836396,1.3832192613695584
2024,London Stadium,5381,2,10.0,8.530823947836396,1.1722197130250496
2024,Minute Maid Park,2392,85,8.717647058823529,8.530823947836396,1.0218997733547783
2024,Nationals Park,3309,82,8.75609756097561,8.530823947836396,1.0264070170146165
2024,Oakland Coliseum,10,82,8.597560975609756,8.530823947836396,1.0078230459544633
2024,Oracle Park,2395,82,8.231707317073171,8.530823947836396,0.9649369588925714
2024,Oriole Park at Camden Yards,2,98,9.275510204081632,8.530823947836396,1.087293590958949
2024,PNC Park,31,96,8.864583333333334,8.530823947836396,1.0391239331086637
2024,Peoria Stadium,2530,6,12.166666666666666,8.530823947836396,1.4262006508471434
2024,Petco Park,2680,86,8.720930232558139,8.530823947836396,1.022284633452078
2024,Progressive Field,5,131,7.984732824427481,8.530823947836396,0.9359861220032075
2024,Publix Field at Joker Marchant Stadium,2511,6,8.666666666666666,8.530823947836396,1.015923751288376
