pitcher,pitch_type,player_name,pitches,weighted_pitches,avg_velocity,avg_spin,avg_pfx_x,avg_pfx_z,xwoba_allowed,swings,whiffs,balls_in_play,hard_hits,latest_year,usage_pct,whiff_per_swing,hard_hit_per_bip
434378,CH,"Verlander, Justin",228,125.39999999999996,84.69561403508776,1723.0482456140355,-1.0795614035087724,0.7733771929824564,0.27900881818181816,56.64999999999999,15.950000000000001,21.450000000000003,8.25,2025,0.08216216216216216,0.28155339805825247,0.3846153846153846
434378,CU,"Verlander, Justin",385,211.74999999999994,78.45740259740263,2746.6441558441566,0.6254805194805197,-1.026701298701299,0.33169908531517733,79.2,20.9,33.0,16.5,2025,0.1387387387387387,0.26388888888888884,0.5
434378,FF,"Verlander, Justin",1219,670.4499999999999,93.9319114027892,2432.0336341263337,-0.7394913863822806,1.5490976210008207,0.3828078518097834,327.25,46.75,118.25,55.0,2025,0.4392792792792793,0.14285714285714285,0.46511627906976744
434378,SI,"Verlander, Justin",10,5.5,93.27,2474.0000000000005,-0.993,1.362,0.4504296666666667,3.8499999999999996,1.6500000000000001,1.1,1.1,2025,0.003603603603603604,0.42857142857142866,1.0
434378,SL,"Verlander, Justin",623,342.65,87.10818619582666,2499.539325842697,0.3390208667736758,0.4580738362760835,0.27057298105909394,195.8,59.95,67.1,33.0,2025,0.22450450450450452,0.30617977528089885,0.49180327868852464
434378,ST,"Verlander, Justin",221,121.54999999999997,80.49547511312221,2662.352941176471,0.9656561085972855,-0.14090497737556568,0.18635975268817215,53.900000000000006,13.75,22.550000000000004,7.15,2025,0.07963963963963963,0.2551020408163265,0.31707317073170727
434378,,"Verlander, Justin",89,48.94999999999999,,,,,,20.9,3.3,10.45,0.0,2025,0.03207207207207207,0.15789473684210525,0.0
445276,FC,"Jansen, Kenley",844,508.29999999999995,92.78313004131421,2605.2675585284283,0.20079874090104272,1.5188835333464492,0.3269623372868088,281.25,56.2,85.60000000000001,50.5,2026,0.8097172441258462,0.19982222222222223,0.5899532710280373
445276,SI,"Jansen, Kenley",93,55.19999999999999,93.33423913043481,2321.8505434782614,-0.6600634057971017,1.5439673913043481,0.25236756586297443,25.35,7.600000000000001,8.600000000000001,3.2,2026,0.08793309438470727,0.2998027613412229,0.3720930232558139
445276,SL,"Jansen, Kenley",67,42.25,83.94828402366863,2469.9278106508873,0.5572189349112427,-0.2549349112426036,0.13608720930232557,28.0,6.950000000000001,10.8,3.8500000000000005,2026,0.06730386300278773,0.24821428571428575,0.3564814814814815
445276,ST,"Jansen, Kenley",31,17.050000000000004,81.8741935483871,2509.290322580644,1.0345161290322573,0.23580645161290317,0.48008333333333353,9.350000000000001,2.2,2.75,2.2,2025,0.0271604938271605,0.23529411764705882,0.8
445276,,"Jansen, Kenley",9,4.95,,,,,,0.0,0.0,0.0,0.0,2025,0.007885304659498209,,
445926,CH,"Chavez, Jesse",39,21.450000000000006,83.93076923076922,1816.9230769230767,-1.3258974358974354,0.08641025641025639,0.5338444511784513,6.6,2.2,2.75,0.55,2025,0.15725806451612911,0.33333333333333337,0.2
445926,CU,"Chavez, Jesse",10,5.5,73.78000000000002,2529.1000000000004,1.3920000000000001,-0.672,,1.1,0.55,0.0,0.0,2025,0.040322580645161296,0.5,
445926,FC,"Chavez, Jesse",81,44.54999999999999,87.85679012345682,2186.530864197531,-0.167283950617284,1.0500000000000003,0.39470609838425863,20.9,3.85,5.5,2.75,2025,0.32661290322580644,0.1842105263157895,0.5
445926,SI,"Chavez, Jesse",72,39.599999999999994,89.54444444444445,1979.6805555555559,-1.354166666666667,0.6151388888888891,0.2758784887218044,17.6,0.0,11.0,6.050000000000001,2025,0.2903225806451613,0.0,0.55
445926,SL,"Chavez, Jesse",8,4.4,80.43750000000001,2403.0,0.5237499999999999,-0.47375,0.896,2.2,0.0,0.55,0.55,2025,0.03225806451612904,0.0,1.0
445926,,"Chavez, Jesse",38,20.900000000000006,,,,,,11.000000000000004,2.2,4.3999999999999995,0.0,2025,0.15322580645161296,0.19999999999999996,0.0
448179,CH,"Hill, Rich",1,0.55,80.5,1432.0,0.86,0.32,0.152,0.55,0.0,0.55,0.0,2025,0.00584795321637427,0.0,0.0
448179,CU,"Hill, Rich",59,32.449999999999996,72.41355932203393,2569.8813559322034,-1.4213559322033902,-0.7623728813559324,0.4051839783549783,15.400000000000002,4.95,4.4,2.2,2025,0.3450292397660819,0.3214285714285714,0.5
448179,FC,"Hill, Rich",27,14.850000000000003,83.7037037037037,2288.9629629629626,-0.20629629629629628,0.7003703703703703,0.336937125,6.6,0.0,3.8499999999999996,1.1,2025,0.15789473684210534,0.0,0.28571428571428575
448179,FF,"Hill, Rich",63,34.649999999999984,88.52380952380956,2244.88888888889,0.39444444444444465,1.3407936507936515,0.5426420000000001,10.450000000000003,2.2,4.95,3.3,2025,0.36842105263157887,0.21052631578947364,0.6666666666666666
448179,SI,"Hill, Rich",11,6.05,87.23636363636365,2183.6363636363635,1.331818181818182,0.6672727272727275,0.1242,2.2,0.0,1.6500000000000001,0.55,2025,0.06432748538011697,0.0,0.3333333333333333
448179,ST,"Hill, Rich",10,5.5,70.9,2492.2000000000003,-1.5839999999999999,0.19799999999999998,0.32737425,1.6500000000000001,0.0,1.6500000000000001,0.55,2025,0.0584795321637427,0.0,0.3333333333333333
450203,CH,"Morton, Charlie",253,139.14999999999998,87.51620553359686,1815.2055335968384,-1.140513833992095,-0.3063636363636365,0.3811610301125951,73.14999999999999,16.5,30.25,18.15,2025,0.09712092130518234,0.2255639097744361,0.6
450203,CU,"Morton, Charlie",976,536.8,81.44006147540986,3163.086065573771,1.2800102459016396,-0.7447540983606559,0.291472359398362,263.45,95.7,84.7,36.300000000000004,2025,0.37466410748560464,0.3632567849686848,0.4285714285714286
450203,FC,"Morton, Charlie",232,127.59999999999997,88.03534482758624,2512.814655172415,0.06965517241379313,0.4420689655172415,0.44570436874236863,55.55,12.65,16.5,6.6,2025,0.0890595009596929,0.22772277227722773,0.39999999999999997
450203,FF,"Morton, Charlie",702,386.0999999999999,94.21339031339036,2322.4487179487187,-0.9973504273504278,1.0367663817663821,0.3396831496924565,167.75,28.05,50.60000000000001,30.25,2025,0.2694817658349328,0.16721311475409836,0.5978260869565216
450203,SI,"Morton, Charlie",385,211.74999999999994,94.01350649350653,2219.574025974027,-1.4801298701298706,0.3635584415584417,0.35456329879084547,95.15,11.0,47.3,28.6,2025,0.14779270633397312,0.11560693641618497,0.6046511627906977
450203,,"Morton, Charlie",57,31.349999999999998,,,,,,13.200000000000001,3.3000000000000003,4.95,0.0,2025,0.021880998080614205,0.25,0.0
453286,CH,"Scherzer, Max",302,199.84999999999997,84.5929447085314,1371.1110833124849,-1.2166925193895424,0.3819939954966225,0.31765143620054653,84.05000000000001,13.8,35.0,20.950000000000003,2026,0.13852498786996603,0.16418798334324805,0.5985714285714286
453286,CU,"Scherzer, Max",281,188.74999999999997,75.77170860927153,2708.7809271523183,1.0425350993377485,-0.5993350993377484,0.2987988027497683,90.0,24.650000000000002,38.65,15.000000000000002,2026,0.13083108061274,0.2738888888888889,0.388098318240621
453286,FC,"Scherzer, Max",91,71.2,88.03953651685391,2552.0175561797755,0.19167837078651687,0.6672893258426967,0.22703589743589744,35.900000000000006,9.3,8.75,1.0,2026,0.04935190961391835,0.2590529247910863,0.11428571428571428
453286,FF,"Scherzer, Max",1056,690.5999999999999,93.56356067187956,2379.386692730959,-0.7536823052418187,1.3642629597451492,0.3377847020289883,330.75,53.3,114.45,51.95,2026,0.47868579746309003,0.16114890400604687,0.45391000436872
453286,SL,"Scherzer, Max",464,291.19999999999993,85.96243131868134,2420.2460207612467,0.32707074175824186,0.27807005494505505,0.26798421408380413,176.25,53.05,60.8,29.9,2026,0.20184376516254243,0.3009929078014184,0.4917763157894737
453286,,"Scherzer, Max",2,1.1,,,,,,0.0,0.0,0.0,0.0,2025,0.0007624592777431207,,
455119,FC,"Martin, Chris",243,133.64999999999998,91.35020576131687,2242.9297520661166,0.22888888888888895,0.6739094650205764,0.38440529207086965,76.44999999999999,17.050000000000004,25.300000000000004,12.649999999999999,2025,0.35166425470332857,0.22302158273381303,0.49999999999999983
