gamePk,gameDate,away_team,home_team,away_probable_pitcher,home_probable_pitcher,away_starter_vs_home_lineup,home_starter_vs_away_lineup,home_bullpen_workload,away_bullpen_workload,bullpen_data_present,both_starter_matchups_present,home_edge_score,sample_pitches,pitch_types_matched,h2h_book_count,h2h_median_point,h2h_median_price,spreads_book_count,spreads_median_point,spreads_median_price,totals_book_count,totals_median_point,totals_median_price,confidence,lean,decision,venue,venue_id,park_run_factor,park_factor_games,park_factor_season,temperature_f,precipitation,wind_mph,wind_gust_mph,humidity_pct,weather_hour_utc,run_environment_flag,comp_count,features_used,comp_home_win_rate,comp_avg_total_runs,comp_avg_home_margin,comp_median_distance,comp_quality_grade,comp_side,hulk_model_side,comp_alignment,comp_bucket_hist_accuracy,comp_bucket_hist_samples,decision_brain_edge_column,model_strength_0_1,comp_reliability_0_1,comp_direction_strength_0_1,comp_effective_strength_0_1,research_consensus_score,research_guardrail,market_rows,books,matched_provider_events,max_time_delta_hours,comparable_market_groups,market_groups_with_2plus_books,current_point_std,current_price_std,avg_abs_point_move,avg_abs_price_move,comparable_market_disagreement,market_data_status,market_disagreement_flag,market_move_strength_0_1,high_conviction_research,high_conviction_reason
824470,2026-09-02T16:40:00Z,San Diego Padres,Cincinnati Reds,Casey Mize,Brandon Williamson,0.395,,30.285714285714285,39.71428571428572,True,False,-0.289,2886,6,9.0,,-9.0,9.0,0.0,-10.0,9.0,9.5,-110.0,LOW,San Diego Padres,PASS,Great American Ball Park,2602,0.9219341002144668,115,2026,95.1,0.0,7.4,10.1,39,2026-09-02T17:00:00+00:00,NEUTRAL,,,,,,,UNKNOWN,NEUTRAL,AWAY,NEUTRAL,,,home_edge_score,1.0,0.0,,,,PASS,2998,14,2,0.016666666666666666,17,17,1.9980096620240058,5214.563196622145,0.019008690288476314,12.24186097800576,True,KNOWN,True,0.012672460192317542,False,
822686,2026-09-02T17:05:00Z,Atlanta Braves,Washington Nationals,Grant Holmes,Brad Lord,0.18,-0.114,28.5,30.714285714285715,True,True,-0.228,4784,12,6.0,,-10.0,6.0,0.0,-9.0,6.0,9.0,-110.0,HIGH,Atlanta Braves,PASS,Nationals Park,3309,1.2249020795123138,73,2026,92.3,0.0,2.5,6.7,52,2026-09-02T17:00:00+00:00,HITTER_FRIENDLY,,,,,,,UNKNOWN,NEUTRAL,AWAY,NEUTRAL,,,home_edge_score,0.931372549019608,0.0,,,,PASS,2991,14,2,0.016666666666666666,17,17,2.124453243471299,1051.4975587908355,0.005696049880018594,16.148358550750814,True,KNOWN,True,0.003797366586679063,False,
822851,2026-09-02T18:35:00Z,Athletics,Texas Rangers,Jacob Lopez,Cody Bradford,0.061,0.269,28.33333333333333,39.142857142857146,True,True,0.198,2536,9,9.0,,-12.0,9.0,0.0,-11.5,9.0,8.0,-110.0,HIGH,Texas Rangers,PASS,Globe Life Field,5325,0.8877883927991161,69,2026,97.4,0.0,7.3,8.9,37,2026-09-02T19:00:00+00:00,PITCHER_FRIENDLY,,,,,,,UNKNOWN,NEUTRAL,HOME,NEUTRAL,,,home_edge_score,0.8088235294117648,0.0,,,,PASS,2825,14,2,0.016666666666666666,17,17,2.7996869996540488,1340.6409660843074,0.09187784080527339,22.24588113517976,True,KNOWN,True,0.06125189387018226,False,
824312,2026-09-02T19:10:00Z,Baltimore Orioles,Colorado Rockies,Trevor Rogers,Tomoyuki Sugano,0.061,0.241,30.25,18.0,True,True,0.093,5101,12,9.0,,-9.0,9.0,0.0,-110.0,9.0,11.0,-109.0,HIGH,Colorado Rockies,PASS,Coors Field,19,1.1821315291948564,82,2026,89.3,0.0,4.7,17.7,15,2026-09-02T19:00:00+00:00,HITTER_FRIENDLY,,,,,,,UNKNOWN,NEUTRAL,HOME,NEUTRAL,,,home_edge_score,0.3799019607843137,0.0,,,,PASS,3138,14,2,0.016666666666666666,17,17,2.7832985561403834,652.290956566788,0.031482777843125295,21.388632098205704,True,KNOWN,True,0.02098851856208353,False,
825037,2026-09-02T19:40:00Z,Philadelphia Phillies,Arizona Diamondbacks,Andrew Painter,Taylor Clarke,0.056,-0.016,16.75,28.0,True,True,-0.007,1533,13,6.0,,-90.0,6.0,0.0,-119.5,6.0,7.5,-118.0,HIGH,Philadelphia Phillies,PASS,Chase Field,15,0.9860345932094812,71,2026,101.0,0.0,6.8,13.2,28,2026-09-02T20:00:00+00:00,NEUTRAL,,,,,,,UNKNOWN,NEUTRAL,AWAY,NEUTRAL,,,home_edge_score,0.02859477124183,0.0,,,,PASS,2065,13,2,0.016666666666666666,17,17,2.34910184913467,531.1448701797651,0.017116245319998554,9.448371459067351,True,KNOWN,True,0.01141083021333237,False,
824717,2026-09-02T20:10:00Z,Seattle Mariners,Boston Red Sox,Bryce Miller,Patrick Sandoval,0.101,0.184,35.625,24.33333333333333,True,True,0.029,2697,14,9.0,,-8.5,9.0,0.0,-14.0,9.0,8.5,-110.0,HIGH,Boston Red Sox,PASS,Fenway Park,3,1.002868386303913,98,2026,72.5,0.0,11.2,15.7,57,2026-09-02T20:00:00+00:00,NEUTRAL,,,,,,,UNKNOWN,NEUTRAL,HOME,NEUTRAL,,,home_edge_score,0.1184640522875817,0.0,,,,PASS,3334,14,2,0.016666666666666666,17,17,2.4318116513884345,1086.7139040412646,0.005887151491344755,12.210261277703655,True,KNOWN,True,0.003924767660896503,False,
823339,2026-09-02T22:40:00Z,San Francisco Giants,Pittsburgh Pirates,Landen Roupp,Jared Jones,0.043,0.286,31.857142857142858,25.857142857142858,True,True,0.174,2721,9,7.0,,-12.5,7.0,0.0,-10.5,7.0,8.0,-110.0,HIGH,Pittsburgh Pirates,PASS,PNC Park,31,1.2382280485200754,82,2026,89.0,0.0,8.1,19.5,55,2026-09-02T23:00:00+00:00,HITTER_FRIENDLY,,,,,,,UNKNOWN,NEUTRAL,HOME,NEUTRAL,,,home_edge_score,0.7107843137254902,0.0,,,,PASS,2648,14,2,0.016666666666666666,17,17,2.454505258334248,1092.1308918488035,0.11273861496319122,16.3301154924655,True,KNOWN,True,0.07515907664212748,False,
822931,2026-09-02T22:40:00Z,New York Mets,Tampa Bay Rays,Justin Hagenman,Griffin Jax,-0.112,0.185,28.125,24.55555555555556,True,True,0.224,1665,10,8.0,,-12.0,8.0,0.0,-10.5,8.0,8.0,-110.0,HIGH,Tampa Bay Rays,PASS,Tropicana Field,12,0.9765534913516976,71,2026,78.9,0.0,5.2,13.0,90,2026-09-02T23:00:00+00:00,NEUTRAL,,,,,,,UNKNOWN,NEUTRAL,HOME,NEUTRAL,,,home_edge_score,0.9150326797385622,0.0,,,,PASS,2746,14,2,0.016666666666666666,17,17,2.2190796735660316,1078.2988576452544,0.0406476270451187,20.324783392651707,True,KNOWN,True,0.027098418030079133,False,
824390,2026-09-02T22:40:00Z,Toronto Blue Jays,Cleveland Guardians,Dylan Cease,Joey Cantillo,0.089,0.059,22.0,25.33333333333333,True,True,-0.01,5799,11,9.0,,-9.0,9.0,0.0,-11.5,9.0,7.0,-112.5,HIGH,Toronto Blue Jays,PASS,Progressive Field,5,0.9757394573538072,99,2026,90.2,0.0,9.3,21.9,50,2026-09-02T23:00:00+00:00,NEUTRAL,,,,,,,UNKNOWN,NEUTRAL,AWAY,NEUTRAL,,,home_edge_score,0.0408496732026143,0.0,,,,PASS,3080,14,2,0.016666666666666666,17,17,2.617161469669957,1178.2700004488136,0.019125555878771214,19.83051476593261,True,KNOWN,True,0.012750370585847477,False,
823660,2026-09-02T23:40:00Z,Detroit Tigers,Minnesota Twins,Drew Anderson,Dean Kremer,0.259,-0.004,32.0,35.0,True,True,-0.201,3521,11,9.0,,-109.0,8.0,0.0,-15.0,9.0,9.0,-109.0,HIGH,Detroit Tigers,PASS,Target Field,3312,1.0193538940239772,70,2026,84.4,0.0,4.1,5.8,44,2026-09-03T00:00:00+00:00,NEUTRAL,,,,,,,UNKNOWN,NEUTRAL,AWAY,NEUTRAL,,,home_edge_score,0.8210784313725491,0.0,,,,PASS,2779,14,2,0.016666666666666666,17,17,2.118577557661296,1210.8559143469706,0.19635856020559145,34.69858203433608,True,KNOWN,True,0.13090570680372762,False,
824068,2026-09-02T23:40:00Z,Miami Marlins,Kansas City Royals,Eury Pérez,Noah Cameron,-0.013,0.228,17.333333333333332,32.0,True,True,0.252,4790,13,9.0,,-107.0,9.0,0.0,-11.0,9.0,8.5,-110.5,HIGH,Kansas City Royals,PASS,Kauffman Stadium,7,1.0918298151591384,82,2026,97.6,0.0,8.9,15.4,28,2026-09-03T00:00:00+00:00,HITTER_FRIENDLY,,,,,,,UNKNOWN,NEUTRAL,HOME,NEUTRAL,,,home_edge_score,1.0,0.0,,,,PASS,3286,14,2,0.016666666666666666,17,17,2.635304756967844,962.5127023116565,0.39324004559319714,35.613676305091595,True,KNOWN,True,0.26216003039546476,False,
824634,2026-09-02T23:40:00Z,Milwaukee Brewers,Chicago Cubs,Jacob Misiorowski,David Peterson,-0.081,0.048,22.444444444444443,28.33333333333333,True,True,0.126,4991,10,8.0,,-9.5,8.0,0.0,-9.0,8.0,8.5,-110.0,HIGH,Chicago Cubs,PASS,Wrigley Field,17,1.0123771840574796,85,2026,79.4,0.0,3.4,5.8,81,2026-09-03T00:00:00+00:00,NEUTRAL,,,,,,,UNKNOWN,NEUTRAL,HOME,NEUTRAL,,,home_edge_score,0.5147058823529412,0.0,,,,PASS,3382,14,2,0.016666666666666666,17,17,2.618124740240301,1061.2543383126758,0.06350981150642272,19.63250812594836,True,KNOWN,True,0.04233987433761515,False,
824147,2026-09-03T00:10:00Z,Chicago White Sox,Houston Astros,Davis Martin,Hayden Wesneski,0.207,0.113,35.375,30.428571428571427,True,True,-0.09,3441,13,5.0,,-11.0,5.0,0.0,-12.0,5.0,7.5,-111.0,HIGH,Chicago White Sox,PASS,Daikin Park,2392,1.0440185541082403,72,2026,83.9,0.0,12.2,25.5,63,2026-09-03T00:00:00+00:00,NEUTRAL,,,,,,,UNKNOWN,NEUTRAL,AWAY,NEUTRAL,,,home_edge_score,0.3676470588235294,0.0,,,,PASS,2974,14,2,0.016666666666666666,17,17,2.4628910813248233,1102.5605470040164,0.002095722681123015,10.50115573829576,True,KNOWN,True,0.00139714845408201,False,
