game_id,season,week,gameday,game_type,away_team,home_team,away_score,home_score,result,total,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,total_line,roof,surface,temp,wind,stadium,referee,home_ats_margin,home_ats_result,ou_margin,ou_result,home_pre5_off_epa_per_play,home_preseason_off_epa_per_play,home_pre5_def_epa_per_play,home_preseason_def_epa_per_play,home_pre5_off_success_rate,home_preseason_off_success_rate,home_pre5_def_success_rate,home_preseason_def_success_rate,home_pre5_off_explosive_rate,home_preseason_off_explosive_rate,home_pre5_def_explosive_rate,home_preseason_def_explosive_rate,home_pre5_pass_rate,home_preseason_pass_rate,home_pre5_sack_rate,home_preseason_sack_rate,home_pre5_turnover_rate,home_preseason_turnover_rate,home_pre5_plays_per_game,home_preseason_plays_per_game,away_pre5_off_epa_per_play,away_preseason_off_epa_per_play,away_pre5_def_epa_per_play,away_preseason_def_epa_per_play,away_pre5_off_success_rate,away_preseason_off_success_rate,away_pre5_def_success_rate,away_preseason_def_success_rate,away_pre5_off_explosive_rate,away_preseason_off_explosive_rate,away_pre5_def_explosive_rate,away_preseason_def_explosive_rate,away_pre5_pass_rate,away_preseason_pass_rate,away_pre5_sack_rate,away_preseason_sack_rate,away_pre5_turnover_rate,away_preseason_turnover_rate,away_pre5_plays_per_game,away_preseason_plays_per_game
2016_01_LA_SF,2016,1,2016-09-12,REG,LA,SF,0.0,28.0,28.0,28.0,7,7,-126.0,114.0,-2.5,44.0,outdoors,grass,66.0,17.0,Levi's Stadium,Bill Vinovich,30.5,COVER,-16.0,UNDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016_02_NYJ_BUF,2016,2,2016-09-15,REG,NYJ,BUF,37.0,31.0,-6.0,68.0,4,4,113.0,-125.0,1.5,40.5,outdoors,a_turf,60.0,11.0,New Era Field,Ed Hochuli,-7.5,NO_COVER,27.5,OVER,-0.16503357720698814,-0.16503357720698814,-0.07900951808797846,-0.07900951808797846,0.3469387755102041,0.3469387755102041,0.4,0.4,0.061224489795918366,0.061224489795918366,0.07692307692307693,0.07692307692307693,0.5714285714285714,0.5714285714285714,0.04081632653061224,0.04081632653061224,0.0,0.0,49.0,49.0,0.03911263200116758,0.03911263200116758,0.17398041433088735,0.17398041433088735,0.4084507042253521,0.4084507042253521,0.48214285714285715,0.48214285714285715,0.11267605633802817,0.11267605633802817,0.14285714285714285,0.14285714285714285,0.6056338028169014,0.6056338028169014,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,71.0,71.0
2016_02_TB_ARI,2016,2,2016-09-18,REG,TB,ARI,7.0,40.0,33.0,47.0,7,7,289.0,-330.0,7.5,49.5,closed,grass,,,University of Phoenix Stadium,Ron Torbert,25.5,COVER,-2.5,UNDER,0.15855470945073216,0.15855470945073216,0.09790841808504899,0.09790841808504899,0.5409836065573771,0.5409836065573771,0.42857142857142855,0.42857142857142855,0.06557377049180328,0.06557377049180328,0.1,0.1,0.6885245901639344,0.6885245901639344,0.04918032786885246,0.04918032786885246,0.0,0.0,61.0,61.0,0.20245466563707226,0.20245466563707226,0.0208827576979572,0.0208827576979572,0.46774193548387094,0.46774193548387094,0.421875,0.421875,0.11290322580645161,0.11290322580645161,0.078125,0.078125,0.5806451612903226,0.5806451612903226,0.0,0.0,0.016129032258064516,0.016129032258064516,62.0,62.0
2016_02_SF_CAR,2016,2,2016-09-18,REG,SF,CAR,27.0,46.0,19.0,73.0,6,10,447.0,-550.0,12.0,44.5,outdoors,grass,82.0,4.0,Bank of America Stadium,John Parry,7.0,COVER,28.5,OVER,0.04185183457775741,0.04185183457775741,0.02713141520715518,0.02713141520715518,0.42028985507246375,0.42028985507246375,0.5,0.5,0.043478260869565216,0.043478260869565216,0.14285714285714285,0.14285714285714285,0.5507246376811594,0.5507246376811594,0.043478260869565216,0.043478260869565216,0.014492753623188406,0.014492753623188406,69.0,69.0,0.03762747587170452,0.03762747587170452,-0.4774276576024325,-0.4774276576024325,0.3875,0.3875,0.26666666666666666,0.26666666666666666,0.0625,0.0625,0.05,0.05,0.55,0.55,0.0,0.0,0.0125,0.0125,80.0,80.0
2016_02_BAL_CLE,2016,2,2016-09-18,REG,BAL,CLE,25.0,20.0,-5.0,45.0,7,7,-190.0,171.0,-4.0,42.0,outdoors,grass,74.0,7.0,FirstEnergy Stadium,John Hussey,-1.0,NO_COVER,3.0,OVER,-0.30039583487017024,-0.30039583487017024,0.036388479446134527,0.036388479446134527,0.34615384615384615,0.34615384615384615,0.42857142857142855,0.42857142857142855,0.15384615384615385,0.15384615384615385,0.06493506493506493,0.06493506493506493,0.6346153846153846,0.6346153846153846,0.057692307692307696,0.057692307692307696,0.019230769230769232,0.019230769230769232,52.0,52.0,-0.07900951808797846,-0.07900951808797846,-0.16503357720698814,-0.16503357720698814,0.4,0.4,0.3469387755102041,0.3469387755102041,0.07692307692307693,0.07692307692307693,0.061224489795918366,0.061224489795918366,0.6,0.6,0.06153846153846154,0.06153846153846154,0.015384615384615385,0.015384615384615385,65.0,65.0
2016_02_TEN_DET,2016,2,2016-09-18,REG,TEN,DET,16.0,15.0,-1.0,31.0,7,7,231.0,-260.0,6.0,48.0,dome,fieldturf,,,Ford Field,Brad Allen,-7.0,NO_COVER,-17.0,UNDER,0.3727122831592491,0.3727122831592491,0.2571040181714726,0.2571040181714726,0.609375,0.609375,0.5,0.5,0.109375,0.109375,0.05714285714285714,0.05714285714285714,0.65625,0.65625,0.015625,0.015625,0.0,0.0,64.0,64.0,-0.2532642090841089,-0.2532642090841089,-0.006352080942783665,-0.006352080942783665,0.5074626865671642,0.5074626865671642,0.3870967741935484,0.3870967741935484,0.05970149253731343,0.05970149253731343,0.04838709677419355,0.04838709677419355,0.6716417910447762,0.6716417910447762,0.029850746268656716,0.029850746268656716,0.04477611940298507,0.04477611940298507,67.0,67.0
2016_02_KC_HOU,2016,2,2016-09-18,REG,KC,HOU,12.0,19.0,7.0,31.0,7,7,-107.0,-103.0,-1.0,41.5,closed,fieldturf,,,NRG Stadium,Tony Corrente,8.0,COVER,-10.5,UNDER,-0.025547373178463856,-0.025547373178463856,-0.18565356678364128,-0.18565356678364128,0.3835616438356164,0.3835616438356164,0.38596491228070173,0.38596491228070173,0.0821917808219178,0.0821917808219178,0.05263157894736842,0.05263157894736842,0.5342465753424658,0.5342465753424658,0.0273972602739726,0.0273972602739726,0.0136986301369863,0.0136986301369863,73.0,73.0,0.12236706816224979,0.12236706816224979,0.19291764544322998,0.19291764544322998,0.5211267605633803,0.5211267605633803,0.5416666666666666,0.5416666666666666,0.1267605633802817,0.1267605633802817,0.09722222222222222,0.09722222222222222,0.7605633802816901,0.7605633802816901,0.04225352112676056,0.04225352112676056,0.014084507042253521,0.014084507042253521,71.0,71.0
2016_02_MIA_NE,2016,2,2016-09-18,REG,MIA,NE,24.0,31.0,7.0,55.0,7,7,205.0,-230.0,5.5,42.0,outdoors,fieldturf,79.0,10.0,Gillette Stadium,Craig Wrolstad,1.5,COVER,13.0,OVER,0.09790841808504899,0.09790841808504899,0.15855470945073216,0.15855470945073216,0.42857142857142855,0.42857142857142855,0.5409836065573771,0.5409836065573771,0.1,0.1,0.06557377049180328,0.06557377049180328,0.5714285714285714,0.5714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,70.0,70.0,-0.1850392512795972,-0.1850392512795972,-0.14801249929104876,-0.14801249929104876,0.2962962962962963,0.2962962962962963,0.47560975609756095,0.47560975609756095,0.07407407407407407,0.07407407407407407,0.04878048780487805,0.04878048780487805,0.6296296296296297,0.6296296296296297,0.09259259259259259,0.09259259259259259,0.0,0.0,54.0,54.0
2016_02_NO_NYG,2016,2,2016-09-18,REG,NO,NYG,13.0,16.0,3.0,29.0,7,7,171.0,-190.0,3.5,54.0,outdoors,fieldturf,80.0,5.0,MetLife Stadium,Gene Steratore,-0.5,NO_COVER,-25.0,UNDER,0.09822731271352884,0.09822731271352884,-0.009346249856843777,-0.009346249856843777,0.4642857142857143,0.4642857142857143,0.39473684210526316,0.39473684210526316,0.125,0.125,0.039473684210526314,0.039473684210526314,0.5535714285714286,0.5535714285714286,0.03571428571428571,0.03571428571428571,0.017857142857142856,0.017857142857142856,56.0,56.0,0.2608933709011219,0.2608933709011219,0.27699614786214,0.27699614786214,0.5223880597014925,0.5223880597014925,0.4861111111111111,0.4861111111111111,0.13432835820895522,0.13432835820895522,0.1111111111111111,0.1111111111111111,0.6716417910447762,0.6716417910447762,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,67.0,67.0
2016_02_CIN_PIT,2016,2,2016-09-18,REG,CIN,PIT,16.0,24.0,8.0,40.0,7,6,146.0,-162.0,3.0,48.0,outdoors,grass,72.0,4.0,Heinz Field,Peter Morelli,5.0,COVER,-8.0,UNDER,0.31476823484862637,0.31476823484862637,-0.013083378730636478,-0.013083378730636478,0.582089552238806,0.582089552238806,0.5689655172413793,0.5689655172413793,0.11940298507462686,0.11940298507462686,0.06896551724137931,0.06896551724137931,0.5671641791044776,0.5671641791044776,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,67.0,67.0,0.17398041433088735,0.17398041433088735,0.03911263200116758,0.03911263200116758,0.48214285714285715,0.48214285714285715,0.4084507042253521,0.4084507042253521,0.14285714285714285,0.14285714285714285,0.11267605633802817,0.11267605633802817,0.6785714285714286,0.6785714285714286,0.125,0.125,0.017857142857142856,0.017857142857142856,56.0,56.0
