overall_rank,position_rank,tier,full_name,position,team,depth_rank,status,rookie_2026,headshot_url,headshot,hulk_score,overall_score,adp,value_vs_adp,pass_yards,pass_td,rush_yards,rush_td,targets,receptions,rec_yards,rec_td,air_yard_share,sleeper_player_id,sleeper_name,sleeper_team,proj_ppr_points,proj_games,proj_pass_yd,proj_pass_td,proj_pass_int,proj_rush_att,proj_rush_yd,proj_rush_td,proj_rec,proj_rec_yd,proj_rec_td,role_adjustment,replacement_points,vorp,scarcity_multiplier,hulk_v2_score,hulk_v2_position_rank,hulk_v2_rank,hulk_v2_tier
187,41,4,Woody Marks,RB,HOU,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/y5ntpcenhhhv98uz2fys","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/y5ntpcenhhhv98uz2fys",32.042857142857144,34.60628571428572,,,0.0,0.0,703.0,2.0,0.0,0.0,0.0,0.0,0.0,12474,Woody Marks,HOU,83.8,18.0,,,,86.0,351.0,2.0,19.0,137.0,1.0,2.0,160.1,-76.3,1.08,-80.404,48,184,5
110,20,2,Josh Jacobs,RB,GB,4.0,EXE,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uceokxeo0uqrqms3e3vl","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uceokxeo0uqrqms3e3vl",55.27142857142857,59.69314285714286,,,0.0,0.0,929.0,13.0,0.0,0.0,0.0,0.0,0.0,5850,Josh Jacobs,GB,87.2,18.0,,,,93.0,390.0,3.0,14.0,102.0,1.0,-2.0,160.1,-72.89999999999999,1.08,-80.732,49,185,5
420,190,5,Ted Hurst III,WR,TB,4.0,ACT,True,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mmf6qmo6a2evw4feupcm","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mmf6qmo6a2evw4feupcm",3.0,3.24,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13317,Ted Hurst,TB,97.9,18.0,,,,2.0,13.0,,36.0,426.0,3.0,-2.0,177.3,-79.4,1.0,-81.4,76,186,6
348,116,5,Caleb Douglas,WR,MIA,3.0,ACT,True,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/stwypvmutplwvi1zzbmu","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/stwypvmutplwvi1zzbmu",9.0,9.72,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13296,Caleb Douglas,MIA,94.8,18.0,,,,,,,34.0,428.0,3.0,0.0,177.3,-82.50000000000001,1.0,-82.50000000000001,77,187,6
206,84,5,Pat Bryant,WR,DEN,5.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/n91hznzkfpftxhqt1qd9","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/n91hznzkfpftxhqt1qd9",26.00348886110569,28.083767969994152,,,0.0,0.0,0.0,0.0,49.0,31.0,378.0,1.0,9.690521228605396,12492,Pat Bryant,DEN,96.4,18.0,,,,2.0,9.0,,35.0,425.0,3.0,-2.0,177.3,-80.9,1.0,-82.9,78,188,6
181,35,5,Michael Mayer,TE,LV,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/twnkr9uq1phvukxb5jmh","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/twnkr9uq1phvukxb5jmh",38.51046447585827,36.19983660730677,,,0.0,0.0,0.0,0.0,50.0,35.0,328.0,1.0,6.718989045958019,9482,Michael Mayer,LV,80.8,18.0,,,,,,,34.0,348.0,2.0,2.0,162.5,-81.7,1.05,-83.78500000000001,34,189,4
84,14,3,Colby Parkinson,TE,LA,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qsyrgtfjj06wryahnxc9","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qsyrgtfjj06wryahnxc9",72.39847389075163,68.05456545730652,,,0.0,0.0,0.0,0.0,56.0,43.0,408.0,8.0,4.992369453758137,6865,Colby Parkinson,LAR,76.3,18.0,,,,,,,29.0,293.0,3.0,6.0,162.5,-86.2,1.05,-84.51,35,190,4
457,155,5,Cyrus Allen,WR,KC,5.0,ACT,True,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qput6hanukjbatuao8ca","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qput6hanukjbatuao8ca",3.0,3.24,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13413,Cyrus Allen,KC,94.5,18.0,,,,,,,34.0,425.0,3.0,-2.0,177.3,-82.80000000000001,1.0,-84.80000000000001,79,191,6
174,33,5,Cole Kmet,TE,CHI,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ysnui8mzlu2fo70ub0yt","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ysnui8mzlu2fo70ub0yt",42.02923476071689,39.50748067507387,,,0.0,0.0,0.0,0.0,48.0,30.0,347.0,2.0,9.229507136917803,6826,Cole Kmet,CHI,79.7,18.0,,,,,,,34.0,337.0,2.0,2.0,162.5,-82.8,1.05,-84.94,36,192,4
366,92,5,Eli Stowers,TE,PHI,3.0,ACT,True,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/c9rjqit3q5tm9hzkm5ay","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/c9rjqit3q5tm9hzkm5ay",9.0,8.459999999999999,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13349,Eli Stowers,PHI,81.4,18.0,,,,2.0,5.0,,31.0,319.0,3.0,0.0,162.5,-81.1,1.05,-85.155,37,193,5
167,70,5,Andrei Iosivas,WR,CIN,3.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xhrvbt81iohroyftuyj2","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xhrvbt81iohroyftuyj2",38.695234381746005,41.79085313228569,,,0.0,0.0,0.0,0.0,58.0,33.0,435.0,2.0,12.51463344719158,10226,Andrei Iosivas,CIN,91.3,18.0,,,,2.0,10.0,,32.0,403.0,3.0,0.0,177.3,-86.00000000000001,1.0,-86.00000000000001,80,194,6
433,186,5,Tory Horton,WR,SEA,4.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lmsun4qzmk1rkgt4kw76","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lmsun4qzmk1rkgt4kw76",3.0,3.24,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12497,Tory Horton,SEA,92.0,18.0,,,,1.0,9.0,,31.0,421.0,3.0,-2.0,177.3,-85.30000000000001,1.0,-87.30000000000001,81,195,6
137,27,3,Tyler Allgeier,RB,ARI,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sp9lhhmpv4qy3xy2msxd","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sp9lhhmpv4qy3xy2msxd",47.34285714285714,51.13028571428572,,,0.0,0.0,514.0,8.0,0.0,0.0,0.0,0.0,0.0,8132,Tyler Allgeier,ARI,77.2,18.0,,,,109.0,460.0,3.0,9.0,62.0,,2.0,160.1,-82.89999999999999,1.08,-87.532,50,196,5
116,19,4,Theo Johnson,TE,NYG,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fv2jbzlocr1o3ahkru43","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fv2jbzlocr1o3ahkru43",62.02287910239963,58.30150635625564,,,0.0,0.0,0.0,0.0,74.0,45.0,528.0,5.0,13.61439551199816,11597,Theo Johnson,NYG,77.0,18.0,,,,,,,31.0,340.0,2.0,2.0,162.5,-85.5,1.05,-87.775,38,197,5
152,29,5,Dawson Knox,TE,BUF,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k8bi9ppahwfmoxs8ij4w","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k8bi9ppahwfmoxs8ij4w",50.01500629634812,47.01410591856723,,,0.0,0.0,0.0,0.0,49.0,36.0,417.0,4.0,10.075031481740591,5906,Dawson Knox,BUF,76.4,18.0,,,,,,,28.0,304.0,3.0,2.0,162.5,-86.1,1.05,-88.405,39,198,5
156,66,5,Chimere Dike,WR,TEN,4.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cbcpv4931dqmgsu3anvo","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cbcpv4931dqmgsu3anvo",43.12073932287319,46.57039846870305,,,0.0,0.0,0.0,0.0,74.0,48.0,423.0,4.0,15.565235075904427,12540,Chimere Dike,TEN,89.4,18.0,,,,6.0,30.0,,38.0,384.0,2.0,-2.0,177.3,-87.9,1.0,-89.9,82,199,6
239,94,5,Isaac TeSlaa,WR,DET,3.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ducfhbiy2a8loytcjymn","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ducfhbiy2a8loytcjymn",18.63654136701517,20.127464676376384,,,0.0,0.0,0.0,0.0,7.0,4.0,52.0,1.0,20.43270683507584,12535,Isaac TeSlaa,DET,87.1,18.0,,,,2.0,9.0,,28.0,402.0,3.0,0.0,177.3,-90.20000000000002,1.0,-90.20000000000002,83,200,6
133,25,4,Evan Engram,TE,DEN,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nucl2dxmpvhlywhyro8o","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nucl2dxmpvhlywhyro8o",56.37292952548718,52.99055375395795,,,0.0,0.0,0.0,0.0,76.0,50.0,461.0,1.0,7.447980960769235,4066,Evan Engram,DEN,70.7,18.0,,,,,,,31.0,277.0,2.0,6.0,162.5,-91.8,1.05,-90.39,40,201,5
