overall_rank,position_rank,tier,full_name,position,team,depth_rank,status,rookie_2026,headshot_url,headshot,hulk_score,overall_score,adp,value_vs_adp,pass_yards,pass_td,rush_yards,rush_td,targets,receptions,rec_yards,rec_td,air_yard_share,_name_key,_position,_team,hulk_rank,sleeper_match,sleeper_source_player,sleeper_ppr_adp,sleeper_half_adp,sleeper_std_adp,espn_match,espn_source_player,espn_adp,espn_ppr_room_rank,yahoo_match,yahoo_source_player,yahoo_adp,cbs_match,cbs_source_player,cbs_adp,cbs_rank,adp_source_count,consensus_adp,consensus_adp_median,market_adp_low,market_adp_high,platform_spread,hulk_value_vs_consensus,hulk_value_vs_espn_room,best_value_platform,best_platform_value
1,1,1,Jaxon Smith-Njigba,WR,SEA,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yx1xjrupbqdknnjaq4a6","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yx1xjrupbqdknnjaq4a6",230.71782895662372,249.17525527315365,,,0.0,0.0,0.0,0.0,322.0,236.0,3563.0,20.0,52.01222170619559,jaxon smith njigba,WR,SEA,1,exact_name_pos,Jaxon Smith-Njigba,6.5,8.4,9.2,exact_name_pos,Jaxon Smith-Njigba,6.25,6.0,exact_name_pos,Jaxon Smith-Njigba,7.2,name_inside_cbs,J. Smith-Njigba  WR  SEA  Jaxon Smith-Njigba  WR  SEA,6.46,6.0,4,6.6025,6.48,6.25,7.2,0.9500000000000002,5.6025,5.0,Yahoo,6.2
2,2,1,Amon-Ra St. Brown,WR,DET,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fd8nwhm6pvxfyzphzl6i","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fd8nwhm6pvxfyzphzl6i",228.19998194334485,246.4559804988125,,,0.0,0.0,0.0,0.0,343.0,234.0,2802.0,22.0,41.71144817826275,amon ra st brown,WR,DET,2,exact_name_pos,Amon-Ra St. Brown,8.7,7.0,16.8,exact_name_pos,Amon-Ra St. Brown,8.36,8.0,exact_name_pos,Amon-Ra St. Brown,7.9,name_inside_cbs,A. St. Brown  WR  DET  Amon-Ra St. Brown  WR  DET,8.4,8.0,4,8.34,8.379999999999999,7.9,8.7,0.7999999999999989,6.34,6.0,Sleeper,6.699999999999999
3,3,1,Puka Nacua,WR,LA,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ipy6qw7hdygdfc8k86ba","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ipy6qw7hdygdfc8k86ba",225.8811126978876,243.95160171371865,,,0.0,0.0,0.0,0.0,329.0,256.0,3402.0,20.0,31.463255797130337,puka nacua,WR,LA,3,exact_name_pos,Puka Nacua,4.3,6.9,8.9,exact_name_pos,Puka Nacua,5.28,4.0,exact_name_pos,Puka Nacua,4.9,name_inside_cbs,P. Nacua  WR  LAR  Groin: Questionable for Week 1 vs. San Francisco  Puka Nacua  WR  LAR  Groin: Questionable for Week 1 vs. San Francisco,5.23,4.0,4,4.9275,5.065,4.3,5.28,0.9800000000000004,1.9275000000000002,1.0,ESPN,2.2800000000000002
4,4,1,Ja'Marr Chase,WR,CIN,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qya3dtjb5kgofcuj2tuw","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qya3dtjb5kgofcuj2tuw",216.3192873450502,233.62483033265423,,,0.0,0.0,0.0,0.0,370.0,250.0,2824.0,16.0,36.86566749448192,ja marr chase,WR,CIN,4,exact_name_pos,Ja'Marr Chase,3.7,3.5,6.6,exact_name_pos,Ja'Marr Chase,4.28,3.0,exact_name_pos,Ja'Marr Chase,3.5,name_inside_cbs,J. Chase  WR  CIN  Knee: Questionable for Week 1 vs. Tampa Bay  Ja'Marr Chase  WR  CIN  Knee: Questionable for Week 1 vs. Tampa Bay,4.08,3.0,4,3.89,3.89,3.5,4.28,0.7800000000000002,-0.10999999999999988,-1.0,ESPN,0.28000000000000025
5,1,1,Matthew Stafford,QB,LA,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jwpkjfrkzufdyh8u1mg7","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jwpkjfrkzufdyh8u1mg7",260.5,229.24,,,9414.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,matthew stafford,QB,LA,5,exact_name_pos,Matthew Stafford,95.4,106.9,117.6,exact_name_pos,Matthew Stafford,92.7,140.0,exact_name_pos,Matthew Stafford,99.7,name_inside_cbs,M. Stafford  QB  LAR  Matthew Stafford  QB  LAR,95.24,91.0,4,95.76,95.32,92.7,99.7,7.0,90.76,135.0,Yahoo,94.7
6,5,1,Chris Olave,WR,NO,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/onmxufsprtvglhejg94o","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/onmxufsprtvglhejg94o",199.4644221288228,215.42157589912864,,,0.0,0.0,0.0,0.0,308.0,197.0,2269.0,18.0,42.783649105652415,chris olave,WR,NO,6,exact_name_pos,Chris Olave,30.1,30.9,31.2,exact_name_pos,Chris Olave,29.45,24.0,exact_name_pos,Chris Olave,31.5,name_inside_cbs,C. Olave  WR  NO  Chris Olave  WR  NO,28.08,28.0,4,29.7825,29.775,28.08,31.5,3.4200000000000017,23.7825,18.0,Yahoo,25.5
7,1,1,Trey McBride,TE,ARI,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/psasp10nn5pcvkli9kil","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/psasp10nn5pcvkli9kil",226.39927084891903,212.8153145979839,,,0.0,0.0,0.0,0.0,338.0,252.0,2478.0,22.0,25.99635424459538,trey mcbride,TE,ARI,7,exact_name_pos,Trey McBride,24.8,26.5,21.7,exact_name_pos,Trey McBride,22.78,21.0,exact_name_pos,Trey McBride,26.9,name_inside_cbs,T. McBride  TE  ARI  Trey McBride  TE  ARI,27.62,27.0,4,25.525,25.85,22.78,27.62,4.84,18.525,14.0,CBS,20.62
8,6,1,Davante Adams,WR,LA,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tdzluk4xau3arxqk9zsl","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tdzluk4xau3arxqk9zsl",188.6346880657054,203.72546311096184,,,0.0,0.0,0.0,0.0,228.0,120.0,1578.0,28.0,36.78882494391156,davante adams,WR,LA,8,exact_name_pos,Davante Adams,50.3,55.8,45.6,exact_name_pos,Davante Adams,46.17,45.0,exact_name_pos,Davante Adams,56.4,name_inside_cbs,D. Adams  WR  LAR  Rams' Davante Adams: Logs no preseason action  Davante Adams  WR  LAR  Rams' Davante Adams: Logs no preseason action,56.33,54.0,4,52.3,53.315,46.17,56.4,10.229999999999997,44.3,37.0,Yahoo,48.4
9,7,1,George Pickens,WR,DAL,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cbpyykoguf7rsxezqzvk","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cbpyykoguf7rsxezqzvk",182.34245831423036,196.9298549793688,,,0.0,0.0,0.0,0.0,263.0,180.0,2762.0,17.0,35.500753109613115,george pickens,WR,DAL,9,exact_name_pos,George Pickens,22.0,25.6,28.6,exact_name_pos,George Pickens,28.36,27.0,exact_name_pos,George Pickens,22.5,name_inside_cbs,G. Pickens  WR  DAL  George Pickens  WR  DAL,22.11,22.0,4,23.7425,22.305,22.0,28.36,6.359999999999999,14.7425,18.0,ESPN,19.36
10,1,1,Jonathan Taylor,RB,IND,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yw46ky6akdm7h7siofu8","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yw46ky6akdm7h7siofu8",178.28571428571428,192.54857142857145,,,0.0,0.0,3170.0,36.0,0.0,0.0,0.0,0.0,0.0,jonathan taylor,RB,IND,10,exact_name_pos,Jonathan Taylor,7.2,5.4,3.8,exact_name_pos,Jonathan Taylor,6.23,5.0,exact_name_pos,Jonathan Taylor,6.3,name_inside_cbs,J. Taylor  RB  IND  Jonathan Taylor  RB  IND,5.32,5.0,4,6.2625,6.265000000000001,5.32,7.2,1.88,-3.7375,-5.0,Sleeper,-2.8
11,2,1,Jared Goff,QB,DET,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kaicbot8qhzrvddilbtp","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kaicbot8qhzrvddilbtp",206.11111111111117,181.3777777777778,,,9128.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jared goff,QB,DET,11,exact_name_pos,Jared Goff,132.4,143.5,132.9,exact_name_pos,Jared Goff,136.45,164.0,exact_name_pos,Jared Goff,113.8,name_inside_cbs,J. Goff  QB  DET  Jared Goff  QB  DET,109.22,108.0,4,122.9675,123.1,109.22,136.45,27.22999999999999,111.9675,153.0,ESPN,125.44999999999999
12,2,1,Derrick Henry,RB,BAL,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tm79x0iknqg6hms3ypyt","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tm79x0iknqg6hms3ypyt",165.97142857142856,179.24914285714286,,,0.0,0.0,3148.0,32.0,0.0,0.0,0.0,0.0,0.0,derrick henry,RB,BAL,12,exact_name_pos,Derrick Henry,19.0,15.2,7.4,exact_name_pos,Derrick Henry,16.64,16.0,exact_name_pos,Derrick Henry,17.2,name_inside_cbs,D. Henry  RB  BAL  Derrick Henry  RB  BAL,13.82,12.0,4,16.665,16.92,13.82,19.0,5.18,4.664999999999999,4.0,Sleeper,7.0
13,8,1,Courtland Sutton,WR,DEN,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kqwmqcrlrwmqcvfuguhs","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kqwmqcrlrwmqcvfuguhs",164.02429742815218,177.14624122240437,,,0.0,0.0,0.0,0.0,235.0,142.0,1982.0,14.0,38.90994867922246,courtland sutton,WR,DEN,13,exact_name_pos,Courtland Sutton,80.7,80.2,71.9,exact_name_pos,Courtland Sutton,81.19,80.0,exact_name_pos,Courtland Sutton,105.6,name_inside_cbs,C. Sutton  WR  DEN  Courtland Sutton  WR  DEN,81.59,78.0,4,87.27000000000001,81.39,80.7,105.6,24.89999999999999,74.27000000000001,67.0,Yahoo,92.6
14,9,1,Tetairoa McMillan,WR,CAR,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gilgvjemumd6kpc9eiku","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gilgvjemumd6kpc9eiku",162.00965946501668,174.97043222221802,,,0.0,0.0,0.0,0.0,234.0,136.0,1953.0,13.0,47.31752809431416,tetairoa mcmillan,WR,CAR,14,exact_name_pos,Tetairoa McMillan,37.6,35.8,37.5,exact_name_pos,Tetairoa McMillan,42.09,36.0,exact_name_pos,Tetairoa McMillan,41.9,name_inside_cbs,T. McMillan  WR  CAR  Tetairoa McMillan  WR  CAR,43.14,42.0,4,41.182500000000005,41.995000000000005,37.6,43.14,5.539999999999999,27.182500000000005,22.0,CBS,29.14
15,10,1,A.J. Brown,WR,NE,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qfhvjyssf0lwsh0kienp","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qfhvjyssf0lwsh0kienp",161.24905826447628,174.1489829256344,,,0.0,0.0,0.0,0.0,236.0,151.0,1944.0,13.0,41.70682978391986,a j brown,WR,NE,15,exact_name_pos,A.J. Brown,17.5,19.5,33.2,exact_name_pos,A.J. Brown,21.19,20.0,exact_name_pos,A.J. Brown,24.1,name_inside_cbs,A. Brown  WR  NE  A.J. Brown  WR  NE,21.17,19.0,4,20.990000000000002,21.18,17.5,24.1,6.600000000000001,5.990000000000002,5.0,Yahoo,9.100000000000001
16,11,2,Zay Flowers,WR,BAL,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xzhto2dejy2pflkfx40c","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xzhto2dejy2pflkfx40c",157.8941234405592,170.52565331580396,,,0.0,0.0,0.0,0.0,233.0,170.0,2409.0,10.0,37.91292489510377,zay flowers,WR,BAL,16,exact_name_pos,Zay Flowers,41.5,42.8,50.8,exact_name_pos,Zay Flowers,44.18,38.0,exact_name_pos,Zay Flowers,35.7,name_inside_cbs,Z. Flowers  WR  BAL  Lower Body: Questionable for Week 1 at Indianapolis  Zay Flowers  WR  BAL  Lower Body: Questionable for Week 1 at Indianapolis,37.23,34.0,4,39.6525,39.364999999999995,35.7,44.18,8.479999999999997,23.652500000000003,22.0,ESPN,28.18
17,12,2,Emeka Egbuka,WR,TB,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/z224kbzs62rjuykc0vha","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/z224kbzs62rjuykc0vha",157.77772387010248,170.39994177971067,,,0.0,0.0,0.0,0.0,245.0,122.0,1804.0,12.0,38.8693885812816,emeka egbuka,WR,TB,17,exact_name_pos,Emeka Egbuka,39.3,41.3,54.1,exact_name_pos,Emeka Egbuka,44.96,39.0,exact_name_pos,Emeka Egbuka,45.4,name_inside_cbs,E. Egbuka  WR  TB  Toe: Questionable for Week 1 at Cincinnati  Emeka Egbuka  WR  TB  Toe: Questionable for Week 1 at Cincinnati,44.61,44.0,4,43.567499999999995,44.785,39.3,45.4,6.100000000000001,26.567499999999995,22.0,Yahoo,28.4
18,13,2,Drake London,WR,ATL,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mcllowcfrmmdeo4zy3g1","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mcllowcfrmmdeo4zy3g1",157.41594550556164,170.00922114600658,,,0.0,0.0,0.0,0.0,218.0,132.0,1785.0,14.0,42.27203522011589,drake london,WR,ATL,18,exact_name_pos,Drake London,17.9,21.1,19.1,exact_name_pos,Drake London,20.17,18.0,exact_name_pos,Drake London,20.0,name_inside_cbs,D. London  WR  ATL  Drake London  WR  ATL,21.33,20.0,4,19.85,20.085,17.9,21.33,3.4299999999999997,1.8500000000000014,0.0,CBS,3.3299999999999983
19,3,1,Drake Maye,QB,NE,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s1nmoon2xnrc3bnyulv4","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s1nmoon2xnrc3bnyulv4",191.02222222222224,168.09955555555558,,,8788.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,drake maye,QB,NE,19,exact_name_pos,Drake Maye,48.6,51.0,49.6,exact_name_pos,Drake Maye,47.3,58.0,exact_name_pos,Drake Maye,47.6,name_inside_cbs,D. Maye  QB  NE  Drake Maye  QB  NE,53.5,51.0,4,49.25,48.1,47.3,53.5,6.200000000000003,30.25,39.0,CBS,34.5
20,14,2,Tee Higgins,WR,CIN,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gpwtyv3viwy9q4ewderl","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gpwtyv3viwy9q4ewderl",153.34273596891586,165.61015484642914,,,0.0,0.0,0.0,0.0,185.0,110.0,1547.0,20.0,36.46367984457927,tee higgins,WR,CIN,20,exact_name_pos,Tee Higgins,35.5,39.5,35.8,exact_name_pos,Tee Higgins,51.14,42.0,exact_name_pos,Tee Higgins,33.5,name_inside_cbs,T. Higgins  WR  CIN  Heel: Questionable for Week 1 vs. Tampa Bay  Tee Higgins  WR  CIN  Heel: Questionable for Week 1 vs. Tampa Bay,38.68,37.0,4,39.705,37.09,33.5,51.14,17.64,19.705,22.0,ESPN,31.14
21,15,2,Nico Collins,WR,HOU,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fguybjrn1kwflxm5szwq","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fguybjrn1kwflxm5szwq",151.5146649148217,163.63583810800745,,,0.0,0.0,0.0,0.0,229.0,133.0,2037.0,10.0,39.631016881800925,nico collins,WR,HOU,21,exact_name_pos,Nico Collins,25.6,22.5,26.7,exact_name_pos,Nico Collins,25.75,23.0,exact_name_pos,Nico Collins,21.7,name_inside_cbs,N. Collins  WR  HOU  Nico Collins  WR  HOU,25.62,25.0,4,24.6675,25.61,21.7,25.75,4.050000000000001,3.6675000000000004,2.0,ESPN,4.75
22,4,1,Dak Prescott,QB,DAL,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yvscmqq1qki8zfsemmcd","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yvscmqq1qki8zfsemmcd",183.1888888888889,161.20622222222224,,,9034.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dak prescott,QB,DAL,22,exact_name_pos,Dak Prescott,77.8,86.1,97.7,exact_name_pos,Dak Prescott,72.47,85.0,exact_name_pos,Dak Prescott,73.3,name_inside_cbs,D. Prescott  QB  DAL  Cowboys' Dak Prescott: Rests during preseason  Dak Prescott  QB  DAL  Cowboys' Dak Prescott: Rests during preseason,61.97,60.0,4,71.38499999999999,72.88499999999999,61.97,77.8,15.829999999999998,49.38499999999999,63.0,Sleeper,55.8
23,16,2,Justin Jefferson,WR,MIN,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/htjevkugzk6ietrjysny","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/htjevkugzk6ietrjysny",146.76811055582166,158.5095594002874,,,0.0,0.0,0.0,0.0,278.0,166.0,2085.0,4.0,40.95593739449289,justin jefferson,WR,MIN,23,exact_name_pos,Justin Jefferson,11.6,12.2,18.5,exact_name_pos,Justin Jefferson,12.66,11.0,exact_name_pos,Justin Jefferson,13.2,name_inside_cbs,J. Jefferson  WR  MIN  Justin Jefferson  WR  MIN,16.02,15.0,4,13.369999999999997,12.93,11.6,16.02,4.42,-9.630000000000003,-12.0,CBS,-6.98
24,17,2,Michael Wilson,WR,ARI,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hm2b9z4zujjmbiyldh8n","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hm2b9z4zujjmbiyldh8n",145.12890323203987,156.73921549060307,,,0.0,0.0,0.0,0.0,229.0,143.0,1822.0,12.0,39.24067000635325,michael wilson,WR,ARI,24,exact_name_pos,Michael Wilson,85.3,89.4,75.2,exact_name_pos,Michael Wilson,102.6,100.0,exact_name_pos,Michael Wilson,100.8,name_inside_cbs,M. Wilson  WR  ARI  Michael Wilson  WR  ARI,101.53,99.0,4,97.5575,101.16499999999999,85.3,102.6,17.299999999999997,73.5575,76.0,ESPN,78.6
25,18,2,Wan'Dale Robinson,WR,TEN,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yzcvyhmilvxedfjfjglc","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yzcvyhmilvxedfjfjglc",144.19808052939464,155.73392697174623,,,0.0,0.0,0.0,0.0,272.0,180.0,1954.0,8.0,30.68271033928097,wan dale robinson,WR,TEN,25,exact_name_pos,Wan'Dale Robinson,119.0,120.6,105.4,exact_name_pos,Wan'Dale Robinson,113.38,93.0,exact_name_pos,Wan'Dale Robinson,130.8,name_inside_cbs,W. Robinson  WR  TEN  Head: Questionable for Week 1 vs. N.Y. Jets  Wan'Dale Robinson  WR  TEN  Head: Questionable for Week 1 vs. N.Y. Jets,112.57,113.0,4,118.9375,116.19,112.57,130.8,18.230000000000018,93.9375,68.0,Yahoo,105.80000000000001
26,3,1,James Cook,RB,BUF,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/anjbznqb9i21wzcgrtbs","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/anjbznqb9i21wzcgrtbs",143.1,154.548,,,0.0,0.0,3227.0,24.0,0.0,0.0,0.0,0.0,0.0,james cook,RB,BUF,26,exact_name_pos,James Cook,8.9,9.0,5.1,exact_name_pos,James Cook III,10.23,9.0,exact_name_pos,James Cook III,9.4,name_inside_cbs,J. Cook  RB  BUF  James Cook  RB  BUF,9.21,9.0,4,9.435,9.305,8.9,10.23,1.33,-16.564999999999998,-17.0,ESPN,-15.77
27,19,2,CeeDee Lamb,WR,DAL,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mbblzwtynxr15ovzkevi","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mbblzwtynxr15ovzkevi",141.51218636852832,152.8331612780106,,,0.0,0.0,0.0,0.0,233.0,149.0,2150.0,6.0,35.92631645802613,ceedee lamb,WR,DAL,27,exact_name_pos,CeeDee Lamb,10.5,11.9,14.3,exact_name_pos,CeeDee Lamb,11.8,10.0,exact_name_pos,CeeDee Lamb,11.0,name_inside_cbs,C. Lamb  WR  DAL  CeeDee Lamb  WR  DAL,13.89,13.0,4,11.7975,11.4,10.5,13.89,3.3900000000000006,-15.2025,-17.0,CBS,-13.11
28,20,2,Ladd McConkey,WR,LAC,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/q2sk7yforrkiusvruo1o","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/q2sk7yforrkiusvruo1o",140.84499416183672,152.11259369478367,,,0.0,0.0,0.0,0.0,203.0,126.0,1514.0,12.0,29.01343234764509,ladd mcconkey,WR,LAC,28,exact_name_pos,Ladd McConkey,35.5,35.2,46.8,exact_name_pos,Ladd McConkey,46.03,41.0,exact_name_pos,Ladd McConkey,44.7,name_inside_cbs,L. McConkey  WR  LAC  Ladd McConkey  WR  LAC,41.13,39.0,4,41.84,42.915000000000006,35.5,46.03,10.530000000000001,13.840000000000003,13.0,ESPN,18.03
29,21,2,Jameson Williams,WR,DET,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/byiptqggtglvy5qrw5wp","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/byiptqggtglvy5qrw5wp",140.318660345186,151.5441531728009,,,0.0,0.0,0.0,0.0,188.0,123.0,2021.0,13.0,36.13176326439166,jameson williams,WR,DET,29,exact_name_pos,Jameson Williams,60.0,58.2,52.6,exact_name_pos,Jameson Williams,64.33,54.0,exact_name_pos,Jameson Williams,65.7,name_inside_cbs,J. Williams  WR  DET  Jameson Williams  WR  DET,57.19,57.0,4,61.805,62.165,57.19,65.7,8.510000000000005,32.805,25.0,Yahoo,36.7
30,5,2,Caleb Williams,QB,CHI,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt",170.8,150.304,,,7884.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,caleb williams,QB,CHI,30,exact_name_pos,Caleb Williams,71.5,74.2,91.7,exact_name_pos,Caleb Williams,89.92,104.0,exact_name_pos,Caleb Williams,66.9,name_inside_cbs,C. Williams  QB  CHI  Caleb Williams  QB  CHI,78.09,75.0,4,76.6025,74.795,66.9,89.92,23.019999999999996,46.602500000000006,74.0,ESPN,59.92
31,22,2,DeVonta Smith,WR,PHI,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k724kq3hyv7jc0y9s03x","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k724kq3hyv7jc0y9s03x",139.1447880802807,150.27637112670317,,,0.0,0.0,0.0,0.0,215.0,144.0,1869.0,8.0,38.20470963217277,devonta smith,WR,PHI,31,exact_name_pos,DeVonta Smith,32.3,33.2,53.2,exact_name_pos,DeVonta Smith,36.81,34.0,exact_name_pos,DeVonta Smith,29.5,name_inside_cbs,D. Smith  WR  PHI  DeVonta Smith  WR  PHI,34.47,32.0,4,33.269999999999996,33.385,29.5,36.81,7.310000000000002,2.269999999999996,3.0,ESPN,5.810000000000002
32,23,2,Michael Pittman,WR,PIT,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/q1ythn05kwcmdr4mwzll","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/q1ythn05kwcmdr4mwzll",137.39348041104012,148.38495884392333,,,0.0,0.0,0.0,0.0,206.0,151.0,1498.0,14.0,24.236632824431386,michael pittman,WR,PIT,32,exact_name_pos,Michael Pittman,105.3,103.4,107.5,exact_name_pos,Michael Pittman Jr.,89.63,74.0,exact_name_pos,Michael Pittman Jr.,120.8,name_inside_cbs,M. Pittman  WR  PIT  Hamstring: Questionable for Week 1 vs. Atlanta  Michael Pittman  WR  PIT  Hamstring: Questionable for Week 1 vs. Atlanta,112.6,114.0,4,107.08250000000001,108.94999999999999,89.63,120.8,31.17,75.08250000000001,42.0,Yahoo,88.8
33,4,1,Jahmyr Gibbs,RB,DET,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cursejnmmp1i9hnxihkj","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cursejnmmp1i9hnxihkj",137.28571428571428,148.26857142857142,,,0.0,0.0,2400.0,26.0,0.0,0.0,0.0,0.0,0.0,jahmyr gibbs,RB,DET,33,exact_name_pos,Jahmyr Gibbs,1.2,1.5,2.7,exact_name_pos,Jahmyr Gibbs,1.33,1.0,exact_name_pos,Jahmyr Gibbs,1.3,name_inside_cbs,J. Gibbs  RB  DET  Jahmyr Gibbs  RB  DET,1.12,1.0,4,1.2375,1.25,1.12,1.33,0.20999999999999996,-31.7625,-32.0,ESPN,-31.67
34,6,2,Trevor Lawrence,QB,JAX,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k9uzdernqkx7oquy7dkg","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k9uzdernqkx7oquy7dkg",168.32222222222225,148.12355555555558,,,8014.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trevor lawrence,QB,JAX,34,exact_name_pos,Trevor Lawrence,98.6,98.2,94.6,exact_name_pos,Trevor Lawrence,100.36,114.0,exact_name_pos,Trevor Lawrence,83.9,name_inside_cbs,T. Lawrence  QB  JAC  Trevor Lawrence  QB  JAC,82.39,79.0,4,91.3125,91.25,82.39,100.36,17.97,57.3125,80.0,ESPN,66.36
35,24,2,Jaylen Waddle,WR,DEN,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gkh7m1jedon9mwn5jlf1","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gkh7m1jedon9mwn5jlf1",136.51472201042577,147.43589977125984,,,0.0,0.0,0.0,0.0,191.0,125.0,1779.0,12.0,46.97745620597499,jaylen waddle,WR,DEN,35,exact_name_pos,Jaylen Waddle,44.9,46.6,42.3,exact_name_pos,Jaylen Waddle,52.2,49.0,exact_name_pos,Jaylen Waddle,40.2,name_inside_cbs,J. Waddle  WR  DEN  Jaylen Waddle  WR  DEN,46.88,46.0,4,46.045,45.89,40.2,52.2,12.0,11.045000000000002,14.0,ESPN,17.200000000000003
