overall_rank,position_rank,tier,full_name,position,team,depth_rank,status,rookie_2026,headshot_url,headshot,hulk_score,overall_score,adp,value_vs_adp,pass_yards,pass_td,rush_yards,rush_td,targets,receptions,rec_yards,rec_td,air_yard_share,_name_key,_position,_team,hulk_rank,sleeper_match,sleeper_source_player,sleeper_ppr_adp,sleeper_half_adp,sleeper_std_adp,espn_match,espn_source_player,espn_adp,espn_ppr_room_rank,yahoo_match,yahoo_source_player,yahoo_adp,cbs_match,cbs_source_player,cbs_adp,cbs_rank,adp_source_count,consensus_adp,consensus_adp_median,market_adp_low,market_adp_high,platform_spread,hulk_value_vs_consensus,hulk_value_vs_espn_room,best_value_platform,best_platform_value
290,104,5,Tim Patrick,WR,NYJ,5.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hw06t7n00cfpt7euljza","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hw06t7n00cfpt7euljza",13.3469302840722,14.414684706797978,,,0.0,0.0,0.0,0.0,6.0,5.0,78.0,1.0,23.234651420361008,tim patrick,WR,NYJ,290,exact_name_pos,Tim Patrick,573.0,655.2,,unmatched,,,,unmatched,,,unmatched,,,,1,573.0,573.0,573.0,573.0,0.0,283.0,,Sleeper,283.0
291,105,5,Isaiah Williams,WR,NYJ,4.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rj2etltwzmlxyz1cfkeo","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rj2etltwzmlxyz1cfkeo",13.30269894076927,14.366914856030812,,,0.0,0.0,0.0,0.0,19.0,15.0,107.0,0.0,19.53272547307712,isaiah williams,WR,NYJ,291,exact_name_pos,Isaiah Williams,,649.5,,unmatched,,,,unmatched,,,unmatched,,,,0,,,,,,,,,
292,106,5,Ashton Dulin,WR,IND,4.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ux55cx0r9iwqwmfmaip6","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ux55cx0r9iwqwmfmaip6",13.133201461315624,14.183857578220874,,,0.0,0.0,0.0,0.0,5.0,2.0,55.0,0.0,40.18523807580888,ashton dulin,WR,IND,292,exact_name_pos,Ashton Dulin,,696.8,,unmatched,,,,unmatched,,,unmatched,,,,0,,,,,,,,,
293,59,5,Kyle McCord,QB,MIA,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/smdh2mmu457aammcblth","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/smdh2mmu457aammcblth",16.0,14.08,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kyle mccord,QB,MIA,293,exact_name_pos,Kyle McCord,,588.6,,unmatched,,,,unmatched,,,unmatched,,,,0,,,,,,,,,
294,50,5,Gardner Minshew,QB,ARI,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/knlacyr7rqfkcxiriudj","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/knlacyr7rqfkcxiriudj",16.0,14.08,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gardner minshew,QB,ARI,294,exact_name_pos,Gardner Minshew,677.8,650.1,,unmatched,,,,unmatched,,,unmatched,,,,1,677.8,677.8,677.8,677.8,0.0,383.79999999999995,,Sleeper,383.79999999999995
295,60,5,Tommy DeVito,QB,NE,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hb3m2zbfb5aprw6vdqx8","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hb3m2zbfb5aprw6vdqx8",16.0,14.08,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tommy devito,QB,NE,295,exact_name_pos,Tommy DeVito,,655.5,,exact_name_pos,Tommy DeVito,169.95,482.0,unmatched,,,unmatched,,,,1,169.95,169.95,169.95,169.95,0.0,-125.05000000000001,187.0,ESPN,-125.05000000000001
296,53,5,Joe Milton III,QB,DAL,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tsj9lobse1gxzanf39dt","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tsj9lobse1gxzanf39dt",16.0,14.08,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,joe milton,QB,DAL,296,exact_name_pos,Joe Milton,,684.4,,unmatched,,,,unmatched,,,unmatched,,,,0,,,,,,,,,
297,61,5,Cade Klubnik,QB,NYJ,2.0,ACT,True,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sqsxavkryojbysy4kq85","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sqsxavkryojbysy4kq85",16.0,14.08,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cade klubnik,QB,NYJ,297,exact_name_pos,Cade Klubnik,,649.6,,unmatched,,,,unmatched,,,unmatched,,,,0,,,,,,,,,
298,62,5,Drew Lock,QB,SEA,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vdixnkk1uglfpwowalf8","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vdixnkk1uglfpwowalf8",16.0,14.08,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,drew lock,QB,SEA,298,exact_name_pos,Drew Lock,692.7,691.4,,unmatched,,,,unmatched,,,unmatched,,,,1,692.7,692.7,692.7,692.7,0.0,394.70000000000005,,Sleeper,394.70000000000005
299,54,5,Sam Howell,QB,DAL,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sx77bippywnl0dx6m8q9","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sx77bippywnl0dx6m8q9",16.0,14.08,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sam howell,QB,DAL,299,exact_name_pos,Sam Howell,,689.0,,exact_name_pos,Sam Howell,169.97,485.0,unmatched,,,unmatched,,,,1,169.97,169.97,169.97,169.97,0.0,-129.03,186.0,ESPN,-129.03
