event_id,sport_key,game_date,home_team,away_team,canonical_event_id,commence_time,bookmaker,bookmaker_title,player,market_key,market,line,over_price,under_price,implied_probability,is_dfs_flat_payout,dfs_normalized,last_update,age_seconds,injury.status,injury.description,injury.date,injury.team
87e824da83d83bcea518867ca5c3d75f,baseball_mlb,2026-09-03,Baltimore Orioles,Boston Red Sox,66ba9a911f77f8e3,2026-09-03T23:15:00.000Z,fanatics,Fanatics,Christian Encarnacion-Strand,player_total_bases,Total Bases,1.5,135.0,-180.0,42.6,False,False,2026-09-03T18:14:28Z,2085.0,,,,
919bdbd90145290fd9a5266e0fed035b,baseball_mlb,2026-09-03,Chicago Cubs,Milwaukee Brewers,a00db2afa47ee075,2026-09-03T23:15:00.000Z,parx,Parx Casino,Matt Shaw,player_hits,Hits,0.5,-112.0,-122.0,52.8,False,False,2026-09-03T18:25:01Z,1452.0,,,,
18307ff6045b1448e7ad3a1f2d836c6a,baseball_mlb,2026-09-03,Kansas City Royals,Miami Marlins,ceb43f6040c73c1d,2026-09-03T23:40:00Z,bovada,Bovada,Javier Sanoja (MIA),player_player_to_hit_a_home_run,Player To Hit A Home Run,,1100.0,,8.3,False,False,2026-09-03T18:47:48Z,85.0,,,,
f64033ef76653cc57533ab4c515fa24b,baseball_mlb,2026-09-04,Texas Rangers,Tampa Bay Rays,dd5006076227aa2a,2026-09-04T00:05:00Z,pinnacle,Pinnacle,Brandon Nimmo,player_home_runs,Home Runs,0.5,517.0,-983.0,16.2,False,False,2026-09-03T18:30:38Z,1115.0,,,,
919bdbd90145290fd9a5266e0fed035b,baseball_mlb,2026-09-03,Chicago Cubs,Milwaukee Brewers,a00db2afa47ee075,2026-09-03T23:15:00.000Z,bet365,bet365,Jackson Chourio,player_doubles,Doubles,0.5,375.0,-600.0,21.1,False,False,2026-09-03T18:47:51Z,82.0,,,,
919bdbd90145290fd9a5266e0fed035b,baseball_mlb,2026-09-03,Chicago Cubs,Milwaukee Brewers,a00db2afa47ee075,2026-09-03T23:15:00.000Z,caesars,Caesars,Ian Happ,player_runs,Runs Scored,0.5,135.0,-182.0,42.6,False,False,2026-09-03T18:37:43Z,690.0,,,,
919bdbd90145290fd9a5266e0fed035b,baseball_mlb,2026-09-03,Chicago Cubs,Milwaukee Brewers,a00db2afa47ee075,2026-09-03T23:15:00.000Z,fliff,Fliff,Cooper Pratt,player_runs,Batter Runs,0.5,145.0,-240.0,40.8,False,False,2026-09-03T18:21:04Z,1689.0,,,,
919bdbd90145290fd9a5266e0fed035b,baseball_mlb,2026-09-03,Chicago Cubs,Milwaukee Brewers,a00db2afa47ee075,2026-09-03T23:15:00Z,prophetx,ProphetX,Cooper Pratt,player_total_bases,Cooper Pratt Total Bases,0.5,-158.0,122.0,61.2,False,False,2026-09-03T18:19:48Z,1765.0,,,,
87e824da83d83bcea518867ca5c3d75f,baseball_mlb,2026-09-03,Baltimore Orioles,Boston Red Sox,66ba9a911f77f8e3,2026-09-03T23:15Z,betr,Betr,Jackson Holliday,player_doubles,Doubles,0.5,100.0,-100.0,50.0,True,True,2026-09-03T18:24:01Z,1512.0,,,,
87e824da83d83bcea518867ca5c3d75f,baseball_mlb,2026-09-03,Baltimore Orioles,Boston Red Sox,66ba9a911f77f8e3,2026-09-03T23:15:00+00:00,novig,Novig,Trevor Story,player_hits,Hits,0.5,-186.0,,65.0,False,False,2026-09-03T18:24:57Z,1456.0,,,,
919bdbd90145290fd9a5266e0fed035b,baseball_mlb,2026-09-03,Chicago Cubs,Milwaukee Brewers,a00db2afa47ee075,2026-09-03T23:15:00.000Z,draftkings,DraftKings,Jackson Chourio,player_runs,Runs O/U,0.5,-105.0,-132.0,51.2,False,False,2026-09-03T18:40:56Z,497.0,,,,
919bdbd90145290fd9a5266e0fed035b,baseball_mlb,2026-09-03,Chicago Cubs,Milwaukee Brewers,a00db2afa47ee075,2026-09-03T23:15:00.000Z,sleeper,Sleeper,Nico Hoerner,player_singles,Singles,0.5,-147.0,-112.0,59.5,True,False,2026-09-03T18:48:39Z,34.0,,,,
87e824da83d83bcea518867ca5c3d75f,baseball_mlb,2026-09-03,Baltimore Orioles,Boston Red Sox,66ba9a911f77f8e3,2026-09-03T23:15:00Z,betmgm,BetMGM,Caleb Durbin - Player doubles,player_caleb_durbin___player_doubles,Caleb Durbin - Player doubles,0.5,475.0,-800.0,17.4,False,False,2026-09-03T18:37:16Z,717.0,,,,
4531806102eb01c9886a2ceb2b16b0b9,baseball_mlb,2026-09-03,Houston Astros,Chicago White Sox,64c5a4f5c5bcb708,2026-09-03T18:10:00.000Z,fanduel,FanDuel,Munetaka Murakami,player_to_hit_a_home_run,To Hit A Home Run,0.0,650.0,,13.3,False,False,2026-09-03T18:48:30Z,43.0,,,,
87e824da83d83bcea518867ca5c3d75f,baseball_mlb,2026-09-03,Baltimore Orioles,Boston Red Sox,66ba9a911f77f8e3,2026-09-03T23:15:00.000Z,hardrock,Hard Rock Bet,Caleb Durbin,player_stolen_bases,Stolen Bases,0.5,700.0,-1500.0,12.5,False,False,2026-09-03T18:24:41Z,1472.0,,,,
919bdbd90145290fd9a5266e0fed035b,baseball_mlb,2026-09-03,Chicago Cubs,Milwaukee Brewers,a00db2afa47ee075,2026-09-03T23:15:00.000Z,fanatics,Fanatics,Christian Yelich,player_hits,Hits,0.5,-205.0,155.0,67.2,False,False,2026-09-03T18:33:07Z,966.0,,,,
919bdbd90145290fd9a5266e0fed035b,baseball_mlb,2026-09-03,Chicago Cubs,Milwaukee Brewers,a00db2afa47ee075,2026-09-03T23:15:00.000Z,parx,Parx Casino,Matt Shaw,player_rbis,Rbis,0.5,225.0,-335.0,30.8,False,False,2026-09-03T18:23:35Z,1538.0,,,,
18307ff6045b1448e7ad3a1f2d836c6a,baseball_mlb,2026-09-03,Kansas City Royals,Miami Marlins,ceb43f6040c73c1d,2026-09-03T23:40:00Z,bovada,Bovada,Javier Sanoja (MIA),player_player_to_record_a_stolen_base,Player To Record A Stolen Base,,1100.0,,8.3,False,False,2026-09-03T18:47:48Z,85.0,,,,
f64033ef76653cc57533ab4c515fa24b,baseball_mlb,2026-09-04,Texas Rangers,Tampa Bay Rays,dd5006076227aa2a,2026-09-04T00:05:00Z,pinnacle,Pinnacle,Cal Quantrill,player_earned_runs,Earned Runs,2.5,115.0,-153.0,46.5,False,False,2026-09-03T18:15:17Z,2036.0,,,,
919bdbd90145290fd9a5266e0fed035b,baseball_mlb,2026-09-03,Chicago Cubs,Milwaukee Brewers,a00db2afa47ee075,2026-09-03T23:15:00.000Z,bet365,bet365,Jackson Chourio,player_hits,Hits,0.5,-275.0,200.0,73.3,False,False,2026-09-03T18:47:51Z,82.0,,,,
